Entity,Code,Year,Annual CO₂ emissions (per capita)
Qatar,QAT,2019,35.985134
Trinidad and Tobago,TTO,2019,26.83153
Bahrain,BHR,2019,25.152763
Kuwait,KWT,2019,24.519451
Brunei,BRN,2019,24.500765
United Arab Emirates,ARE,2019,23.834637
New Caledonia,NCL,2019,19.87871
Saudi Arabia,SAU,2019,19.737017
Australia,AUS,2019,16.398174
Sint Maarten (Dutch part),SXM,2019,16.018604
Luxembourg,LUX,2019,15.757939
United States,USA,2019,15.739861
Canada,CAN,2019,15.41972
Kazakhstan,KAZ,2019,14.678785
Mongolia,MNG,2019,14.618863
Faroe Islands,FRO,2019,14.313607
Oman,OMN,2019,12.866547
South Korea,KOR,2019,12.472093
Palau,PLW,2019,12.254864
Russia,RUS,2019,11.698944
Curacao,CUW,2019,11.611328
Taiwan,TWN,2019,11.521448
Saint Pierre and Miquelon,SPM,2019,11.080646
North America,,2019,11.06931
Oceania,,2019,10.930183
Libya,LBY,2019,10.736264
High-income countries,,2019,10.671261
Turkmenistan,TKM,2019,10.607364
Greenland,GRL,2019,9.926084
Iceland,ISL,2019,9.863829
Czechia,CZE,2019,9.588486
Anguilla,AIA,2019,9.511942
Bermuda,BMU,2019,9.298764
Estonia,EST,2019,9.286828
Europe (excl. EU-28),,2019,9.21317
Netherlands,NLD,2019,8.783454
Japan,JPN,2019,8.780706
Belgium,BEL,2019,8.641646
Germany,DEU,2019,8.508805
Turks and Caicos Islands,TCA,2019,8.415367
Europe (excl. EU-27),,2019,8.383826
Aruba,ABW,2019,8.363411
Poland,POL,2019,8.252866
Malaysia,MYS,2019,8.154313
Iran,IRN,2019,8.02487
South Africa,ZAF,2019,8.012615
Norway,NOR,2019,8.001257
Finland,FIN,2019,7.6887984
Austria,AUT,2019,7.6527734
Ireland,IRL,2019,7.623691
China,CHN,2019,7.5401316
New Zealand,NZL,2019,7.4367194
Europe,,2019,7.276999
Antigua and Barbuda,ATG,2019,6.9599576
Israel,ISR,2019,6.8145585
Slovenia,SVN,2019,6.6446157
European Union (27),,2019,6.5258102
Belarus,BLR,2019,6.4189095
European Union (28),,2019,6.3870244
Andorra,AND,2019,6.3337045
Greece,GRC,2019,6.2189636
Slovakia,SVK,2019,6.1934304
Bosnia and Herzegovina,BIH,2019,6.1922417
Bahamas,BHS,2019,6.0679793
Upper-middle-income countries,,2019,6.0323076
Bulgaria,BGR,2019,5.9883013
Serbia,SRB,2019,5.982725
Cyprus,CYP,2019,5.9750137
Barbados,BRB,2019,5.948457
Singapore,SGP,2019,5.7579384
Italy,ITA,2019,5.699218
Seychelles,SYC,2019,5.68628
Hong Kong,HKG,2019,5.589584
United Kingdom,GBR,2019,5.4621234
British Virgin Islands,VGB,2019,5.382782
Denmark,DNK,2019,5.34005
Spain,ESP,2019,5.318343
Saint Kitts and Nevis,KNA,2019,5.2957954
Hungary,HUN,2019,5.046203
Ukraine,UKR,2019,5.020078
