Entity,Code,Year,Annual CO₂ emissions (per capita)
Qatar,QAT,2020,37.13288
Bahrain,BHR,2020,25.310665
Brunei,BRN,2020,25.1325
United Arab Emirates,ARE,2020,23.34033
Trinidad and Tobago,TTO,2020,23.074036
Kuwait,KWT,2020,22.408785
New Caledonia,NCL,2020,17.838543
Saudi Arabia,SAU,2020,16.967278
Australia,AUS,2020,15.453229
Sint Maarten (Dutch part),SXM,2020,14.945506
Faroe Islands,FRO,2020,14.463158
Oman,OMN,2020,14.400839
United States,USA,2020,14.034053
Canada,CAN,2020,13.799503
Kazakhstan,KAZ,2020,13.461358
Luxembourg,LUX,2020,12.797711
Palau,PLW,2020,11.806878
South Korea,KOR,2020,11.527397
Taiwan,TWN,2020,11.409406
Mongolia,MNG,2020,11.254686
Russia,RUS,2020,11.21384
Turkmenistan,TKM,2020,10.830831
Saint Pierre and Miquelon,SPM,2020,10.503879
Oceania,,2020,10.24328
North America,,2020,9.889759
High-income countries,,2020,9.701161
Greenland,GRL,2020,9.58365
Curacao,CUW,2020,9.542373
Singapore,SGP,2020,9.274892
Anguilla,AIA,2020,9.152959
Iceland,ISL,2020,9.107512
Europe (excl. EU-28),,2020,8.830373
Czechia,CZE,2020,8.707416
Aruba,ABW,2020,8.352506
Japan,JPN,2020,8.302111
Malaysia,MYS,2020,8.109902
Turks and Caicos Islands,TCA,2020,8.106011
Europe (excl. EU-27),,2020,7.949374
Belgium,BEL,2020,7.879573
Poland,POL,2020,7.870152
Netherlands,NLD,2020,7.8398657
Iran,IRN,2020,7.7787347
Germany,DEU,2020,7.767432
Norway,NOR,2020,7.663988
China,CHN,2020,7.659333
South Africa,ZAF,2020,7.3948026
Bermuda,BMU,2020,7.150552
Ireland,IRL,2020,7.1012745
Libya,LBY,2020,7.073712
Austria,AUT,2020,6.9738197
Estonia,EST,2020,6.949406
Finland,FIN,2020,6.8243456
New Zealand,NZL,2020,6.764759
Europe,,2020,6.731591
Antigua and Barbuda,ATG,2020,6.6818023
Israel,ISR,2020,6.3599873
Bosnia and Herzegovina,BIH,2020,6.2776484
Serbia,SRB,2020,6.1388555
Belarus,BLR,2020,6.1300716
Slovenia,SVN,2020,6.07037
Upper-middle-income countries,,2020,5.9470816
