Entity,Code,Year,Annual CO₂ emissions (per capita)
Qatar,QAT,2021,39.884155
Bahrain,BHR,2021,26.052996
Brunei,BRN,2021,25.375603
United Arab Emirates,ARE,2021,25.333178
Kuwait,KWT,2021,24.301199
Trinidad and Tobago,TTO,2021,23.289734
Saudi Arabia,SAU,2021,17.564127
New Caledonia,NCL,2021,15.763163
Oman,OMN,2021,15.677213
United States,USA,2021,14.9324875
Australia,AUS,2021,14.914762
Sint Maarten (Dutch part),SXM,2021,14.263612
Canada,CAN,2021,14.078721
Faroe Islands,FRO,2021,13.923651
Kazakhstan,KAZ,2021,13.29114
Luxembourg,LUX,2021,13.18523
Palau,PLW,2021,12.285263
Taiwan,TWN,2021,12.204635
South Korea,KOR,2021,11.886425
Russia,RUS,2021,11.79849
Mongolia,MNG,2021,11.4274645
Turkmenistan,TKM,2021,11.033806
North America,,2021,10.459453
High-income countries,,2021,10.209253
Saint Pierre and Miquelon,SPM,2021,10.164606
Greenland,GRL,2021,10.072068
Oceania,,2021,9.883469
Libya,LBY,2021,9.491187
Iceland,ISL,2021,9.477966
Singapore,SGP,2021,9.397426
Europe (excl. EU-28),,2021,9.2291355
Czechia,CZE,2021,9.196797
Curacao,CUW,2021,9.144556
Anguilla,AIA,2021,8.726662
Poland,POL,2021,8.64257
Japan,JPN,2021,8.523455
Europe (excl. EU-27),,2021,8.3205805
Malaysia,MYS,2021,8.3059
Belgium,BEL,2021,8.23914
Germany,DEU,2021,8.138241
Aruba,ABW,2021,8.052776
Netherlands,NLD,2021,7.993908
China,CHN,2021,7.9502664
Estonia,EST,2021,7.8421664
Iran,IRN,2021,7.825858
Turks and Caicos Islands,TCA,2021,7.665116
Norway,NOR,2021,7.5935297
Ireland,IRL,2021,7.5297494
Austria,AUT,2021,7.3994617
South Africa,ZAF,2021,7.1663837
Europe,,2021,7.1178274
Bermuda,BMU,2021,6.873079
Finland,FIN,2021,6.8546104
New Zealand,NZL,2021,6.6900215
Slovakia,SVK,2021,6.4554424
Antigua and Barbuda,ATG,2021,6.400294
Belarus,BLR,2021,6.362195
European Union (27),,2021,6.3043566
Seychelles,SYC,2021,6.2225175
Upper-middle-income countries,,2021,6.1854787
Israel,ISR,2021,6.162786
Slovenia,SVN,2021,6.162082
European Union (28),,2021,6.154652
Bulgaria,BGR,2021,6.140389
Bosnia and Herzegovina,BIH,2021,6.0954695
Serbia,SRB,2021,6.0171556
Suriname,SUR,2021,6.0075874
Italy,ITA,2021,5.692572
Cyprus,CYP,2021,5.6497326
Greece,GRC,2021,5.510225
Turkey,TUR,2021,5.340025
United Kingdom,GBR,2021,5.164383
Bahamas,BHS,2021,5.149713
Denmark,DNK,2021,5.057577
Hungary,HUN,2021,5.0015383
British Virgin Islands,VGB,2021,4.9880238
Lithuania,LTU,2021,4.962828
Kosovo,OWID_KOS,2021,4.866548
Spain,ESP,2021,4.849112
Ukraine,UKR,2021,4.8276234
Montserrat,MSR,2021,4.773321
France,FRA,2021,4.7538953
Saint Kitts and Nevis,KNA,2021,4.669984
World,OWID_WRL,2021,4.654845
Andorra,AND,2021,4.5922055
North America (excl. USA),,2021,4.5687184
Asia,,2021,4.567902
Chile,CHL,2021,4.5675793
Guyana,GUY,2021,4.4295645
Hong Kong,HKG,2021,4.3732305
Barbados,BRB,2021,4.361222
Croatia,HRV,2021,4.288185
Nauru,NRU,2021,4.270805
Lebanon,LBN,2021,4.1969266
Argentina,ARG,2021,4.1907597
Switzerland,CHE,2021,4.117553
Bonaire Sint Eustatius and Saba,BES,2021,4.0947623
Algeria,DZA,2021,4.079527
Cook Islands,COK,2021,4.0415196
Asia (excl. China and India),,2021,3.9939396
Romania,ROU,2021,3.9936028
Niue,NIU,2021,3.9075115
Portugal,PRT,2021,3.8812351
Iraq,IRQ,2021,3.8725574
Latvia,LVA,2021,3.863811
Liechtenstein,LIE,2021,3.7350607
Thailand,THA,2021,3.7320516
Azerbaijan,AZE,2021,3.7170222
Mexico,MEX,2021,3.6998608
Sweden,SWE,2021,3.6805615
Montenegro,MNE,2021,3.670829
North Macedonia,MKD,2021,3.6555693
Marshall Islands,MHL,2021,3.6348102
Vietnam,VNM,2021,3.6171148
Equatorial Guinea,GNQ,2021,3.444009
Uzbekistan,UZB,2021,3.4149938
Maldives,MDV,2021,3.2992737
Saint Helena,SHN,2021,3.252395
Mauritius,MUS,2021,3.1494038
Laos,LAO,2021,3.1470437
Malta,MLT,2021,3.050259
Georgia,GEO,2021,2.942033
French Polynesia,PYF,2021,2.9048145
Tunisia,TUN,2021,2.8740463
Panama,PAN,2021,2.6906164
Grenada,GRD,2021,2.6466973
Saint Lucia,LCA,2021,2.5940566
Venezuela,VEN,2021,2.5394876
Armenia,ARM,2021,2.53107
Gabon,GAB,2021,2.5117075
South America,,2021,2.50236
Botswana,BWA,2021,2.3707244
Uruguay,URY,2021,2.364734
Jamaica,JAM,2021,2.337014
Brazil,BRA,2021,2.3198576
Wallis and Futuna,WLF,2021,2.2964647
Saint Vincent and the Grenadines,VCT,2021,2.2671938
Egypt,EGY,2021,2.2595594
Indonesia,IDN,2021,2.2499223
Ecuador,ECU,2021,2.2324002
Dominican Republic,DOM,2021,2.1393347
Dominica,DMA,2021,2.0959618
Jordan,JOR,2021,2.0332546
North Korea,PRK,2021,1.9766082
Morocco,MAR,2021,1.9592135
India,IND,2021,1.8998938
Cuba,CUB,2021,1.8603169
Colombia,COL,2021,1.8589207
Moldova,MDA,2021,1.8281678
Tonga,TON,2021,1.8028463
Bolivia,BOL,2021,1.7985878
Lower-middle-income countries,,2021,1.7749473
Belize,BLZ,2021,1.7549852
Albania,ALB,2021,1.7177409
Peru,PER,2021,1.6749027
Macao,MAC,2021,1.5566095
Costa Rica,CRI,2021,1.4853407
Namibia,NAM,2021,1.4751465
Kyrgyzstan,KGZ,2021,1.4451864
Paraguay,PRY,2021,1.3819655
Bhutan,BTN,2021,1.3661479
Micronesia (country),FSM,2021,1.3516612
Syria,SYR,2021,1.2763344
Philippines,PHL,2021,1.253542
Congo,COG,2021,1.2433366
Cambodia,KHM,2021,1.2134761
El Salvador,SLV,2021,1.1858464
Fiji,FJI,2021,1.1742574
Samoa,WSM,2021,1.153368
Guatemala,GTM,2021,1.117814
Lesotho,LSO,2021,1.0872496
Honduras,HND,2021,1.0541441
Africa,,2021,1.0311713
Tajikistan,TJK,2021,1.0236204
Tuvalu,TUV,2021,1.0214623
