"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2021","2021",22.952964,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2022","2022",19.466228,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2023","2023",16.343481,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2021-Q1","T1-2021",25.855799,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2021-Q2","T2-2021",22.994605,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2021-Q3","T3-2021",20.528336,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2021-Q4","T4-2021",22.453596,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2022-Q1","T1-2022",22.068136,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2022-Q2","T2-2022",17.957669,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2022-Q3","T3-2022",18.728068,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2022-Q4","T4-2022",19.151512,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2023-Q1","T1-2023",16.818681,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2023-Q2","T2-2023",15.794012,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2023-Q3","T3-2023",16.409851,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","7","diploma","2023-Q4","T4-2023",16.353656,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2021","2021",15.187244,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2022","2022",11.98518,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2023","2023",10.687414,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2021-Q1","T1-2021",16.813514,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2021-Q2","T2-2021",14.920882,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2021-Q3","T3-2021",15.374648,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2021-Q4","T4-2021",13.620223,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2022-Q1","T1-2022",12.851955,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2022-Q2","T2-2022",11.706917,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2022-Q3","T3-2022",11.169777,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2022-Q4","T4-2022",12.327163,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2023-Q1","T1-2023",10.56722,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2023-Q2","T2-2023",10.76044,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2023-Q3","T3-2023",11.233136,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","11","laurea e post-laurea","2023-Q4","T4-2023",10.178416,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","99","totale","2021","2021",21.210573,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","99","totale","2022","2022",17.692124,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","99","totale","2023","2023",14.38645,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","99","totale","2021-Q1","T1-2021",22.675539,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","99","totale","2021-Q2","T2-2021",21.179142,,
"IT","Italia","NEET_I","incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-29","15-29 anni","99","totale","2021-Q3","T3-2021",19.820723,,
