"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","CONDIZIONE_PROF_EU","Condizione professionale europea","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",182.941,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",152.335,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",151.537,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",136.367,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",105.495,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",113.445,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",319.309,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",257.83,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","9","totale","Y15-24","15-24 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",264.981,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",438.824,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",353.031,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","1","maschi","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",342.137,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2021","2021",356.681,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2022","2022",307.162,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","2","femmine","Y15-34","15-34 anni","UNEM","disoccupati","ITL","italiano-a","2023","2023",291.503,,
