"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018","2018",1104.784,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q2","T2-2018",1052.894,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q1","T1-2018",1082.569,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q4","T4-2018",1120.268,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2018-Q3","T3-2018",1163.405,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019","2019",1037.021,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q1","T1-2019",1080.659,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q2","T2-2019",962,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q4","T4-2019",1048.604,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2019-Q3","T3-2019",1056.822,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020","2020",1104.479,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q2","T2-2020",1119.717,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q1","T1-2020",1065.206,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q3","T3-2020",1125.597,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2020-Q4","T4-2020",1107.397,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021","2021",1140.401,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2022","2022",916.886,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2023","2023",733.706,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q1","T1-2021",1150.733,,
"IT","Italia","NEET","giovani Neet di 15-34 anni (non occupati e non in istruzione)","Y15-24","15-24 anni","2021-Q2","T2-2021",1134.662,,
