STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),severity,Severity (days lost),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2010,,0.42,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2011,,0.29,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2012,,0.62,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2013,,0.41,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2014,,0.62,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2015,,0.51,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2016,,0.33,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2017,,0.22,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2018,,0.3,,,,,
dataflow,ESTAT:SDG_08_60(1.0),"Fatal accidents at work per 100 000 workers, by sex",A,Annual,RT_INC,Incidence rate,F,Females,TOTAL,Total - all NACE activities,FAT,Fatal,AT,Austria,2019,,0.11,,,,,
