STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,reason,Reason,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2006,,1.5,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2007,,1.5,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2008,,1.6,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2009,,1.5,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2010,,1.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2011,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2012,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2013,,1.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2014,,1.1,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2015,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2016,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2017,,1.0,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2018,,0.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2019,,0.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2020,,0.7,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2021,,1.2,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2022,,1.3,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2023,,1.2,,,,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2021,,0.6,,b,break in time series,,
dataflow,ESTAT:SDG_05_40(1.0),Persons outside the labour force due to caring responsibilities by sex,A,Annual,FAM_CARE,Care of adults with disabilities or children,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2022,,0.7,,,,,
