Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Afghanistan,AFG,2019,37856126
Africa (UN),,2019,1348005491
Albania,ALB,2019,2885012
Algeria,DZA,2019,43294550
American Samoa,ASM,2019,50230
Americas (UN),,2019,1017894602
Andorra,AND,2019,76491
Angola,AGO,2019,32375632
Anguilla,AIA,2019,14845
Antigua and Barbuda,ATG,2019,91377
Argentina,ARG,2019,44973468
Armenia,ARM,2019,2903975
Aruba,ABW,2019,107089
Asia (UN),,2019,4652385277
Australia,AUS,2019,25482714
Austria,AUT,2019,8880875
Azerbaijan,AZE,2019,10110486
Bahamas,BHS,2019,394684
Bahrain,BHR,2019,1485675
Bangladesh,BGD,2019,164913060
Barbados,BRB,2019,281216
Belarus,BLR,2019,9435414
Belgium,BEL,2019,11490622
Belize,BLZ,2019,385833
Benin,BEN,2019,12726761
Bermuda,BMU,2019,64130
Bhutan,BTN,2019,764829
Bolivia,BOL,2019,11671386
Bonaire Sint Eustatius and Saba,BES,2019,25652
Bosnia and Herzegovina,BIH,2019,3345534
Botswana,BWA,2019,2332081
Brazil,BRA,2019,207455459
British Virgin Islands,VGB,2019,36423
Brunei,BRN,2019,442687
Bulgaria,BGR,2019,6975467
Burkina Faso,BFA,2019,20961954
Burundi,BDI,2019,12255339
Cambodia,KHM,2019,16481304
Cameroon,CMR,2019,25506096
Canada,CAN,2019,37782931
Cape Verde,CPV,2019,514116
Cayman Islands,CYM,2019,67346
Central African Republic,CAF,2019,4944707
Chad,TCD,2019,16685223
Chile,CHL,2019,19197747
China,CHN,2019,1423520354
Colombia,COL,2019,49907987
Comoros,COM,2019,786583
Congo,COG,2019,5616656
Cook Islands,COK,2019,16151
Costa Rica,CRI,2019,4999551
Cote d'Ivoire,CIV,2019,28193014
Croatia,HRV,2019,3986338
Cuba,CUB,2019,11202847
Curacao,CUW,2019,189556
Cyprus,CYP,2019,1286669
Czechia,CZE,2019,10554871
Democratic Republic of Congo,COD,2019,92947450
Denmark,DNK,2019,5814619
Djibouti,DJI,2019,1088708
Dominica,DMA,2019,67901
Dominican Republic,DOM,2019,10894043
East Timor,TLS,2019,1300943
Ecuador,ECU,2019,17340017
Egypt,EGY,2019,107553159
El Salvador,SLV,2019,6222316
Equatorial Guinea,GNQ,2019,1670184
Eritrea,ERI,2019,3240195
Estonia,EST,2019,1326821
Eswatini,SWZ,2019,1179885
Ethiopia,ETH,2019,115737385
Europe (UN),,2019,749504129
Falkland Islands,FLK,2019,3541
Faroe Islands,FRO,2019,51868
Fiji,FJI,2019,914904
Finland,FIN,2019,5521755
France,FRA,2019,65729460
French Guiana,GUF,2019,285576
French Polynesia,PYF,2019,279039
Gabon,GAB,2019,2267710
Gambia,GMB,2019,2456847
Georgia,GEO,2019,3796721
Germany,DEU,2019,83559185
Ghana,GHA,2019,31258942
Gibraltar,GIB,2019,35518
Greece,GRC,2019,10718580
Greenland,GRL,2019,56108
Grenada,GRD,2019,115995
Guadeloupe,GLP,2019,410267
Guam,GUM,2019,161821
Guatemala,GTM,2019,17103802
Guernsey,GGY,2019,62807
Guinea,GIN,2019,13034349
Guinea-Bissau,GNB,2019,1967704
Guyana,GUY,2019,807667
Haiti,HTI,2019,11105164
High-income countries,,2019,1243293724
Honduras,HND,2019,9943637
Hong Kong,HKG,2019,7485816
Hungary,HUN,2019,9770346
Iceland,ISL,2019,360709
India,IND,2019,1389030303
Indonesia,IDN,2019,272489379
Iran,IRN,2019,87051647
Iraq,IRQ,2019,41192172
Ireland,IRL,2019,4933491
Isle of Man,IMN,2019,83973
Israel,ISR,2019,8657466
Italy,ITA,2019,60130136
Jamaica,JAM,2019,2823275
Japan,JPN,2019,126699422
Jersey,JEY,2019,102864
Jordan,JOR,2019,10671892
Kazakhstan,KAZ,2019,19209556
Kenya,KEN,2019,51202829
Kiribati,KIR,2019,123928
Kosovo,OWID_KOS,2019,1755048
Kuwait,KWT,2019,4442202
Kyrgyzstan,KGZ,2019,6494036
Land-locked developing countries (LLDC),,2019,528050257
Laos,LAO,2019,7237634
Latin America and the Caribbean (UN),,2019,642195533
Latvia,LVA,2019,1914267
Least developed countries,,2019,1058226909
Lebanon,LBN,2019,5794600
Lesotho,LSO,2019,2209414
Less developed regions,,2019,6528919013
"Less developed regions, excluding China",,2019,5073567699
"Less developed regions, excluding least developed countries",,2019,5470692036
Liberia,LBR,2019,5043720
Libya,LBY,2019,6951038
Liechtenstein,LIE,2019,38462
Lithuania,LTU,2019,2795057
Low-income countries,,2019,660718368
Lower-middle-income countries,,2019,3101052514
Luxembourg,LUX,2019,620166
Macao,MAC,2019,670983
Madagascar,MDG,2019,28219558
Malawi,MWI,2019,19025748
Malaysia,MYS,2019,33440588
Maldives,MDV,2019,487737
Mali,MLI,2019,21068406
Malta,MLT,2019,504017
Marshall Islands,MHL,2019,44029
Martinique,MTQ,2019,359620
Mauritania,MRT,2019,4467714
Mauritius,MUS,2019,1286269
Mayotte,MYT,2019,274917
Mexico,MEX,2019,125762977
Micronesia (country),FSM,2019,110294
Moldova,MDA,2019,3112563
Monaco,MCO,2019,38131
Mongolia,MNG,2019,3232119
Montenegro,MNE,2019,611673
Montserrat,MSR,2019,4564
More developed regions,,2019,1282374735
Morocco,MAR,2019,36210907
Mozambique,MOZ,2019,29884376
Myanmar,MMR,2019,52640718
Namibia,NAM,2019,2650500
Nauru,NRU,2019,11609
Nepal,NPL,2019,28414066
Netherlands,NLD,2019,17537506
New Caledonia,NCL,2019,283617
New Zealand,NZL,2019,4989412
Nicaragua,NIC,2019,6483660
Niger,NER,2019,22947765
Nigeria,NGA,2019,209485636
Niue,NIU,2019,1814
North Korea,PRK,2019,26037633
North Macedonia,MKD,2019,1897643
Northern America (UN),,2019,375699069
Northern Mariana Islands,MNP,2019,48154
Norway,NOR,2019,5347735
Oceania (UN),,2019,43504185
Oman,OMN,2019,4591247
Pakistan,PAK,2019,230800909
Palau,PLW,2019,17820
Palestine,PSE,2019,4957774
Panama,PAN,2019,4234699
Papua New Guinea,PNG,2019,9609014
Paraguay,PRY,2019,6515060
Peru,PER,2019,32449301
Philippines,PHL,2019,110804685
Poland,POL,2019,38225884
Portugal,PRT,2019,10343218
Puerto Rico,PRI,2019,3288026
Qatar,QAT,2019,2797927
Reunion,REU,2019,857327
Romania,ROU,2019,19501543
Russia,RUS,2019,146533063
Rwanda,RWA,2019,12776104
Saint Barthelemy,BLM,2019,10325
Saint Helena,SHN,2019,5485
Saint Kitts and Nevis,KNA,2019,46974
Saint Lucia,LCA,2019,177674
Saint Martin (French part),MAF,2019,34289
Saint Pierre and Miquelon,SPM,2019,5899
Saint Vincent and the Grenadines,VCT,2019,104182
Samoa,WSM,2019,209793
San Marino,SMR,2019,34674
Sao Tome and Principe,STP,2019,213404
Saudi Arabia,SAU,2019,30472810
Senegal,SEN,2019,16352926
Serbia,SRB,2019,6966154
Seychelles,SYC,2019,117662
Sierra Leone,SLE,2019,7731995
Singapore,SGP,2019,5669562
Sint Maarten (Dutch part),SXM,2019,40410
Slovakia,SVK,2019,5450626
Slovenia,SVN,2019,2083436
Small island developing states (SIDS),,2019,70666301
Solomon Islands,SLB,2019,728156
Somalia,SOM,2019,16030969
South Africa,ZAF,2019,59587880
South Korea,KOR,2019,51767843
South Sudan,SSD,2019,10423382
Spain,ESP,2019,47435120
Sri Lanka,LKA,2019,22410552
Sudan,SDN,2019,45548178
Suriname,SUR,2019,605780
Sweden,SWE,2019,10279122
Switzerland,CHE,2019,8577526
Syria,SYR,2019,20353536
Taiwan,TWN,2019,23674137
Tajikistan,TJK,2019,9529971
Tanzania,TZA,2019,59174889
Thailand,THA,2019,71522265
Togo,TGO,2019,8463068
Tokelau,TKL,2019,2038
Tonga,TON,2019,105688
Trinidad and Tobago,TTO,2019,1484898
Tunisia,TUN,2019,11875085
Turkey,TUR,2019,85357671
Turkmenistan,TKM,2019,6803942
Turks and Caicos Islands,TCA,2019,43190
Tuvalu,TUV,2019,10603
Uganda,UGA,2019,42999636
Ukraine,UKR,2019,44957450
United Arab Emirates,ARE,2019,9377855
United Kingdom,GBR,2019,67110958
United States,USA,2019,337790068
United States Virgin Islands,VIR,2019,89390
Upper-middle-income countries,,2019,2776256182
Uruguay,URY,2019,3397205
Uzbekistan,UZB,2019,32964702
Vanuatu,VUT,2019,291994
Vatican,VAT,2019,543
Venezuela,VEN,2019,28938095
Vietnam,VNM,2019,97173778
Wallis and Futuna,WLF,2019,11711
Western Sahara,ESH,2019,538452
