country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Afghanistan,2022,AFG,41128772.0,53303472128.0,0.016,0.0,12.148,-0.135,-1.101,12.193,-0.073,-0.594,0.296,0.229,,0.295,0.228,,4.485,0.109,,,,2.537,230.756,535.809,62.736,5.956,20.224,816.129,139.304,,,,0.0,0.0,0.143,0.003,,,0.045,0.001,,,,,7.504,0.182,,,,0.001,0.033,0.029,0.029,0.005,0.013,0.021,0.008,0.031,0.008,0.102,0.023,,0.0,0.002,0.001,0.063,,0.083,0.001,0.001,0.001,0.0,,,,
Africa,2022,,1426736614.0,,85.509,0.06,1416.627,-18.588,-1.295,2532.478,-91.373,-3.482,1.777,0.389,0.732,0.994,0.217,0.409,401.602,0.282,,,,2026.07,51012.395,180054.453,20937.314,3631.451,6636.664,166203.109,17780.895,,4079.04,,54.754,0.038,322.712,0.226,,,1115.87,0.783,,,,,552.049,0.387,,,5819.716,5.326,3.813,6.108,2.639,4.344,2.877,7.005,2.556,18.743,2.535,20.724,2.887,,13.776,4.165,25.891,4.648,,9.247,0.062,0.079,0.151,0.01,,,,
Africa (GCP),2022,,,,,,1416.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2022,ALB,2842318.0,36171005952.0,1.312,0.462,4.955,0.051,1.042,5.058,0.036,0.711,1.78,0.14,,1.743,0.137,,0.529,0.186,,,,26.015,298.888,537.838,67.912,0.152,16.754,401.181,188.055,,,,0.015,0.005,0.113,0.04,,,0.104,0.037,,,,,2.985,1.05,,,,0.082,0.013,0.012,0.003,0.056,0.017,0.021,0.008,0.001,0.006,0.05,0.031,,0.004,0.001,0.002,0.025,,0.023,0.0,0.0,0.0,0.0,,,,
Algeria,2022,DZA,44903228.0,595820019712.0,9.555,0.213,176.345,-3.88,-2.153,178.27,-3.904,-2.143,3.97,0.299,0.243,3.927,0.296,0.24,0.502,0.011,,,,244.077,5076.845,5995.795,116.853,751.692,2248.806,1217.094,1715.417,,16350.52,1.232,16.194,0.361,89.967,2.004,,,1.925,0.043,,,,,60.127,1.339,,,734.191,0.595,0.475,0.43,0.003,0.523,0.286,0.233,0.014,3.88,0.859,0.152,0.279,,4.075,1.161,0.045,0.506,,0.403,0.004,0.003,0.007,0.0,,,,
Andorra,2022,AND,79843.0,,0.0,0.0,0.369,0.006,1.542,0.365,0.007,2.066,4.575,,,4.617,,,0.0,0.0,,,,0.0,15.692,16.633,0.0,0.0,0.0,0.942,15.692,,,,0.0,0.0,0.0,0.0,,,-0.003,-0.042,,,,,0.369,4.617,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,,0.0,0.0,-0.0,0.003,,0.001,0.0,0.0,0.0,0.0,,,,
Angola,2022,AGO,35588996.0,158346248192.0,1.201,0.034,16.07,-1.435,-8.2,53.263,-6.013,-10.144,1.497,0.336,,0.452,0.101,,0.0,0.0,,,,27.125,678.975,6363.814,1.601,272.004,48.346,10309.416,329.899,,,,3.151,0.089,2.488,0.07,,,37.193,1.045,,,,,9.23,0.259,,,,0.075,0.043,0.128,0.0,0.058,0.038,0.248,0.0,1.404,0.018,1.285,0.054,,0.793,0.032,0.863,0.078,,0.412,0.003,0.004,0.007,0.0,,,,
Anguilla,2022,AIA,15877.0,,0.0,0.0,0.139,0.001,0.922,,,,,,,8.753,,,0.0,0.0,,,,0.0,3.329,,0.0,0.0,0.0,,3.329,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.139,8.753,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
Antarctica,2022,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
Antigua and Barbuda,2022,ATG,93772.0,,0.0,0.0,0.602,0.005,0.922,0.587,0.006,0.959,6.256,,,6.422,,,0.0,0.0,,,,0.0,25.44,24.064,0.0,0.0,0.0,-7.782,25.44,,,,0.0,0.0,0.0,0.0,,,-0.016,-0.166,,,,,0.602,6.422,,,,0.0,0.002,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.001,0.004,,0.0,0.0,-0.0,0.005,,0.001,0.0,0.0,0.0,0.0,,,,
