Sex,Citizenship,Year,Value,Prop,POPcategorica,POPtot,PropPop
Male,Italian,2021,858.1,20.9,4105.76076555024,4536.2655235146585,90.51
Male,Foreigner,2021,104.05,24.17,430.5047579644187,4536.2655235146585,9.49
Male,Italian,2022,715.4,17.47,4095.020034344591,4525.48056066038,90.49
Male,Foreigner,2022,85.06,19.76,430.4605263157894,4525.48056066038,9.51
Male,Italian,2023,581.76,14.25,4082.491228070175,4519.440272656162,90.33
Male,Foreigner,2023,68.6,15.7,436.9490445859872,4519.440272656162,9.67
Female,Italian,2021,881.14,23.05,3822.724511930586,4271.022536210519,89.5
Female,Foreigner,2021,188.33,42.01,448.2980242799334,4271.022536210519,10.5
Female,Italian,2022,707.14,18.52,3818.2235421166306,4245.891881171291,89.93
Female,Foreigner,2022,161.96,37.87,427.6683390546607,4245.891881171291,10.07
Female,Italian,2023,614.41,16.01,3837.6639600249837,4229.468429298727,90.74
Female,Foreigner,2023,140.27,35.8,391.804469273743,4229.468429298727,9.26
