Entity,Population,Annual CO₂ emissions (per capita),Continent,Rank,Annual CO2 total
Luxembourg,654000,15.80507690909091,Europe,1st,10336520.298545456
Qatar,2950000,38.571882,Asia,1st,113787051.9
Libya,6880000,8.809849645454547,Africa,1st,60611765.56072728
Trinidad and Tobago,1500000,27.67744163636364,North America,1st,41516162.45454546
Suriname,641000,4.914460309090909,South America,1st,3150169.058127273
New Caledonia,306000,17.629292727272727,Oceania,1st,5394563.574545454
Faroe Islands,55000,13.468321272727273,Europe,2nd,740757.67
Kuwait,4300000,24.56940818181818,Asia,2nd,105648455.18181817
South Africa,60000000,7.865766327272727,Africa,2nd,471945979.6363636
Canada,39060000,15.326585,North America,2nd,598656410.1
Chile,19500000,4.530358781818181,South America,2nd,88341996.24545453
Australia,26000000,16.447157818181818,Oceania,2nd,427626103.27272725
Estonia,1300000,11.600663536363637,Europe,3rd,15080862.597272728
United Arab Emirates,9500000,24.295391545454546,Asia,3rd,230806219.6818182
Seychelles,100000,5.384862081818182,Africa,3rd,538486.2081818181
Saint Pierre and Miquelon,6000,10.700806,North America,3rd,64204.836
Argentina,46000000,4.240420763636364,South America,3rd,195059355.12727275
Palau,18000,12.126827363636364,Oceania,3rd,218282.89254545455
Iceland,380000,10.197368545454545,Europe,4th,3875000.047272727
Bahrain,1700000,23.93537072727273,Asia,4th,40690130.23636364
Equatorial Guinea,1500000,4.660035445454546,Africa,4th,6990053.168181819
Greenland,56000,9.818777136363638,North America,4th,549851.5196363637
Guyana,1000000,3.2798738727272725,South America,4th,3279873.8727272726
New Zealand,5130000,7.367068,Oceania,4th,37793058.839999996
Czechia,10700000,9.811274863636363,Europe,5th,104980641.04090908
Saudi Arabia,36200000,18.941520909090908,Asia,5th,685683056.9090909
Algeria,45000000,3.9475324181818183,Africa,5th,177638958.8181818
Anguilla,15000,8.941526545454545,North America,5th,134122.89818181816
Brazil,215000000,2.398147609090909,South America,5th,515601735.95454544
Nauru,12000,4.4650689,Oceania,5th,53580.8268
Europe Others,423000000,200.82750536363636,Europe,Others,84950034768.81818
Asia Others,4200000000,162.83160727818182,Asia,Others,683892750568.3636
Africa Others,1400000000,31.114790888636364,Africa,Others,43560707244.09091
North America Others,40000000,86.08700015818182,North America,Others,3443480006.327273
South America Others,50000000,9.104560860000001,South America,Others,455228043.00000006
Oceania Others,250000,23.85086767,Oceania,Others,5962716.9174999995
Europe Sum,747000000,261.7102104909091,Europe,Total,195497527236.7091
Asia Sum,4650000000,293.1451806418182,Asia,Total,1363125089984.4546
Africa Sum,1500000000,61.78283680681818,Africa,Total,92674255210.22728
North America Sum,450000000,158.55213647636364,North America,Total,71348461414.36363
South America Sum,440000000,28.467822196363638,South America,Total,12525841766.400002
Oceania Sum,45000000,81.88628247909091,Oceania,Total,3684882711.559091
