Entity,Code,Year,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Numeric Code
Afghanistan,AFG,2019,0.29340136,37856126,Asia,11107038.85273136,004
Albania,ALB,2019,1.6795896,2885012,Europe,4845636.1510752,008
Algeria,DZA,2019,4.18161,43294550,Africa,181040923.2255,012
Andorra,AND,2019,6.3337045,76491,Europe,484471.39090949995,020
Angola,AGO,2019,0.59412795,32375632,Africa,19235267.870114397,024
Anguilla,AIA,2019,9.511942,14845,North America,141204.77899,660
Antigua and Barbuda,ATG,2019,6.9599576,91377,North America,635980.0456152,028
Argentina,ARG,2019,3.9894862,44973468,South America,179421029.9521416,032
Armenia,ARM,2019,2.2279305,2903975,Asia,6469854.4737375,051
Aruba,ABW,2019,8.363411,107089,North America,895629.3205789999,533
Australia,AUS,2019,16.398174,25482714,Oceania,417869978.164236,036
Austria,AUT,2019,7.6527734,8880875,Europe,67963323.968725,040
Azerbaijan,AZE,2019,3.6879485,10110486,Asia,37286951.677971,031
Bahamas,BHS,2019,6.0679793,394684,North America,2394934.3420412,044
Bahrain,BHR,2019,25.152763,1485675,Asia,37368831.170025,048
Bangladesh,BGD,2019,0.60895467,164913060,Asia,100424578.0309902,050
Barbados,BRB,2019,5.948457,281216,North America,1672801.2837120001,052
Belarus,BLR,2019,6.4189095,9435414,Europe,60565068.561032996,112
Belgium,BEL,2019,8.641646,11490622,Europe,99297887.643812,056
Belize,BLZ,2019,1.8173902,385833,North America,701209.1130365999,084
Benin,BEN,2019,0.5789981,12726761,Africa,7368770.4381540995,204
Bermuda,BMU,2019,9.298764,64130,North America,596329.73532,060
Bhutan,BTN,2019,1.9005703,764829,Asia,1453611.2819787,064
Bolivia,BOL,2019,1.9193769,11671386,South America,22401788.6793834,068
Bonaire Sint Eustatius and Saba,BES,2019,4.2942533,25652,North America,110156.18565160001,535
Bosnia and Herzegovina,BIH,2019,6.1922417,3345534,Europe,20716355.1435678,070
Botswana,BWA,2019,2.7131457,2332081,Africa,6327275.5372017,072
Brazil,BRA,2019,2.2356122,207455459,South America,463789955.09699976,076
