Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2
Afghanistan,0.30503938,39068978,Asia,11917576.826353641
Albania,1.7506745,2871951,Europe,5027851.3809495
Algeria,3.9099252,44042093,Africa,172201289.2814436
Andorra,4.8084607,77398,Europe,372165.2412586
Angola,0.50151193,33451140,Africa,16776145.782100203
Anguilla,9.152959,14864,North America,136049.582576
Antigua and Barbuda,6.6818023,91864,North America,613817.0864872
Argentina,3.7054682,45191960,South America,167457370.675672
Armenia,2.4233668,2890894,Asia,7005696.541919201
Aruba,8.352506,107411,North America,897151.021966
Australia,15.453229,25743787,Oceania,397824635.838223
Austria,6.9738197,8921402,Europe,62216249.0192194
Azerbaijan,3.5147688,10181736,Asia,35786448.0226368
Bahamas,5.3723545,395874,North America,2126775.465333
Bahrain,25.310665,1483081,Asia,37537766.358865
Bangladesh,0.5591592,166298024,Asia,92987070.0614208
Barbados,4.394483,281705,North America,1237947.833515
Belarus,6.1300716,9350943,Europe,57321950.1175188
Belgium,7.879573,11540103,Europe,90931084.016019
Belize,1.5530106,390819,North America,606946.0496814
Benin,0.6125594,13070170,Africa,8006255.493098
Bermuda,7.150552,64405,North America,460531.30156
Bhutan,1.190612,770014,Asia,916787.908568
Bolivia,1.5353591,11816300,South America,18142263.73333
Bonaire Sint Eustatius and Saba,4.3389106,26475,North America,114872.658135
Bosnia and Herzegovina,6.2776484,3299352,Europe,20712171.8038368
Botswana,2.1799212,2365895,Africa,5157464.667474
Brazil,2.0849533,208660845,South America,435048117.3635385
British Virgin Islands,5.2116117,37160,North America,193663.490772
Brunei,25.1325,447412,Asia,11244582.09
Bulgaria,5.234656,6933654,Europe,36295293.513024
Burkina Faso,0.24133267,21478692,Africa,5183510.08846764
Burundi,0.060208857,12617042,Africa,759657.677540994
Cambodia,1.1608452,16725482,Asia,19415695.4973864
Cameroon,0.36622167,26210566,Africa,9598877.25216522
Canada,13.799503,38171901,North America,526753262.36520296
Cape Verde,0.88668585,514684,Africa,456363.0200214
Central African Republic,0.044574007,5026629,Africa,224056.996232403
Chad,0.13693357,17224685,Africa,2358637.60917545
Chile,4.15424,19370619,South America,80470200.27455999
China,7.659333,1426106083,Asia,10923021383.022638
Colombia,1.7618332,50629997,South America,89201609.6305004
Comoros,0.47267568,802172,Africa,379167.19557696
Congo,1.2962588,5752791,Africa,7457105.9583108
Cook Islands,3.8681524,15663,Oceania,60586.8710412
Costa Rica,1.3201325,5034323,North America,6645973.4077975
Cote d'Ivoire,0.41096124,28915452,Africa,11883130.00908048
Croatia,4.1179047,3953957,Europe,16282018.113897901
Cuba,1.8828136,11176349,North America,21042981.8955464
Curacao,9.542373,185026,North America,1765587.1066979999
Cyprus,5.5843916,1302250,Asia,7272273.9611
Czechia,8.707416,10550130,Europe,91864370.76408
Democratic Republic of Congo,0.03995253,95989999,Africa,3835043.31474747
Denmark,4.8577814,5831530,Europe,28328297.967542004
Djibouti,0.35082307,1105194,Africa,387727.55202558
Dominica,2.187888,67589,North America,147877.162032
Dominican Republic,2.136578,11008297,North America,23520085.187666003
East Timor,0.49730384,1326051,Asia,659450.25433584
Ecuador,1.8710657,17546058,South America,32829827.2940106
Egypt,2.1182494,109315119,Africa,231556685.2326786
El Salvador,1.0479546,6234680,North America,6533661.585527999
Equatorial Guinea,3.4615319,1716479,Africa,5941646.8141801
Eritrea,0.18024033,3291277,Africa,593220.85260141
Estonia,6.949406,1329674,Europe,9240444.473644
Eswatini,0.9247956,1192733,Africa,1103034.2303748
Ethiopia,0.15197527,118917671,Africa,18072545.15799617
Faroe Islands,14.463158,52615,Europe,760979.05817
Fiji,1.1309409,914970,Oceania,1034776.995273
Finland,6.8243456,5529617,Europe,37736017.4436352
France,4.366297,65905273,Europe,287761995.78408104
French Polynesia,2.8031993,279219,Oceania,782706.5053467001
Gabon,2.5860782,2322536,Africa,6006259.718315201
Gambia,0.27188137,2515744,Africa,683983.92528928
Georgia,2.807964,3795680,Asia,10658132.79552
Germany,7.767432,83628711,Europe,649580325.940152
Ghana,0.59564954,31887801,Africa,18993953.997261543
