Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Rank
Germany,7.767432,83628711,Europe,649580325.940152,1st
China,7.659333,1426106083,Asia,10923021383.022638,1st
South Africa,7.3948026,60562374,Africa,447846800.7173724,1st
United States,14.034053,339436157,North America,4763665017.454321,1st
Brazil,2.0849533,208660845,South America,435048117.3635385,1st
Australia,15.453229,25743787,Oceania,397824635.838223,1st
United Kingdom,4.8652816,67351860,Europe,327685765.183776,2nd
India,1.7341554,1402617692,Asia,2432357044.7173367,2nd
Egypt,2.1182494,109315119,Africa,231556685.2326786,2nd
Canada,13.799503,38171901,North America,526753262.36520296,2nd
Argentina,3.7054682,45191960,South America,167457370.675672,2nd
New Zealand,6.764759,5069893,Oceania,34296604.300787,2nd
Italy,5.097115,59912763,Europe,305382242.978745,3rd
Russia,11.21384,146371293,Asia,1641384260.29512,3rd
Algeria,3.9099252,44042093,Africa,172201289.2814436,3rd
Mexico,3.5102782,126799052,North America,445099948.0162664,3rd
Colombia,1.7618332,50629997,South America,89201609.6305004,3rd
Papua New Guinea,0.7922191,9815741,Oceania,7776217.5008531,3rd
Poland,7.870152,38171005,Europe,300411611.34276,4th
Japan,8.302111,126304536,Asia,1048594277.675496,4th
Nigeria,0.59436333,213996186,Africa,127191485.71825938,4th
Trinidad and Tobago,23.074036,1481026,North America,34173247.240935996,4th
Chile,4.15424,19370619,South America,80470200.27455999,4th
New Caledonia,17.838543,284186,Oceania,5069464.180998,4th
France,4.366297,65905273,Europe,287761995.78408104,5th
Iran,7.7787347,87723446,Asia,682377413.4037762,5th
Morocco,1.759688,36584208,Africa,64376791.807104,5th
Dominican Republic,2.136578,11008297,North America,23520085.187666003,5th
Venezuela,2.174631,28444078,South America,61855373.78521801,5th
Fiji,1.1309409,914970,Oceania,1034776.995273,5th
Europe Others,5.31759144517563,287823392,Europe,1530527207.0206318,Others
Asia Others,3.3061952985116645,1645361698,Asia,5439887110.2787695,Others
Africa Others,0.3731912835342326,914626170,Africa,341330514.33629924,Others
North America Others,1.2464130835144265,77115599,North America,96117891.53665203,Others
South America Others,1.5921892463822247,73623452,South America,117222468.5559379,Others
Oceania Others,1.2202973306317475,1989070,Oceania,2427256.81143969,Others
Europe Sum,5.642648679861165,602793004,Europe,3401349148.250146,Total
Asia Sum,4.585312115952742,4834484748,Asia,22167621489.393135,Total
Africa Sum,1.0038991480896489,1379126150,Africa,1384503567.0931573,Total
North America Sum,9.91449521985616,594012032,North America,5889329451.801044,Total
South America Sum,2.2334077204984144,425920951,South America,951255140.2854269,Total
Oceania Sum,10.233980743593415,43817647,Oceania,448428955.6275738,Total
