Entity,Code,Year,Annual CO₂ emissions (per capita)
Qatar,QAT,2022,37.601273
United Arab Emirates,ARE,2022,25.833244
Bahrain,BHR,2022,25.672274
Kuwait,KWT,2022,25.578102
Brunei,BRN,2022,23.950201
Trinidad and Tobago,TTO,2022,22.423758
Saudi Arabia,SAU,2022,18.197495
New Caledonia,NCL,2022,17.641167
Oman,OMN,2022,15.730261
Australia,AUS,2022,14.985412
United States,USA,2022,14.949616
Sint Maarten (Dutch part),SXM,2022,14.352394
Canada,CAN,2022,14.249212
Faroe Islands,FRO,2022,14.084624
Kazakhstan,KAZ,2022,13.979704
Palau,PLW,2022,12.123921
Taiwan,TWN,2022,11.630868
Luxembourg,LUX,2022,11.618432
South Korea,KOR,2022,11.598764
Russia,RUS,2022,11.416899
Mongolia,MNG,2022,11.150772
Turkmenistan,TKM,2022,11.03418
North America,,2022,10.5346775
Greenland,GRL,2022,10.473997
Saint Pierre and Miquelon,SPM,2022,10.293288
High-income countries,,2022,10.132565
Oceania,,2022,9.85179
Iceland,ISL,2022,9.499798
Czechia,CZE,2022,9.3357525
Libya,LBY,2022,9.242238
Curacao,CUW,2022,9.189007
Singapore,SGP,2022,8.911513
Europe (excl. EU-28),,2022,8.817789
Anguilla,AIA,2022,8.752724
Malaysia,MYS,2022,8.576508
Japan,JPN,2022,8.501681
Aruba,ABW,2022,8.133404
Poland,POL,2022,8.106886
China,CHN,2022,7.992761
Germany,DEU,2022,7.9837584
Europe (excl. EU-27),,2022,7.886797
Iran,IRN,2022,7.7993317
Estonia,EST,2022,7.77628
Ireland,IRL,2022,7.7211185
Belgium,BEL,2022,7.6875386
Turks and Caicos Islands,TCA,2022,7.636793
Norway,NOR,2022,7.5093055
Netherlands,NLD,2022,7.1372175
Bermuda,BMU,2022,6.9370627
Austria,AUT,2022,6.8781943
Europe,,2022,6.8578663
Bulgaria,BGR,2022,6.8044534
South Africa,ZAF,2022,6.7461643
Finland,FIN,2022,6.5267396
Antigua and Barbuda,ATG,2022,6.4218745
Upper-middle-income countries,,2022,6.2268133
New Zealand,NZL,2022,6.212154
Israel,ISR,2022,6.208912
European Union (27),,2022,6.1743994
Belarus,BLR,2022,6.1669006
Seychelles,SYC,2022,6.1495123
Bosnia and Herzegovina,BIH,2022,6.1034565
Slovakia,SVK,2022,6.051555
Serbia,SRB,2022,6.024712
Slovenia,SVN,2022,5.9979916
European Union (28),,2022,5.983708
Suriname,SUR,2022,5.8029985
Greece,GRC,2022,5.7451057
Italy,ITA,2022,5.726825
Cyprus,CYP,2022,5.616782
Bahamas,BHS,2022,5.1708703
Spain,ESP,2022,5.1644425
Turkey,TUR,2022,5.1052055
British Virgin Islands,VGB,2022,5.0039577
Denmark,DNK,2022,4.940161
Montserrat,MSR,2022,4.8447766
Kosovo,OWID_KOS,2022,4.830646
North America (excl. USA),,2022,4.741475
United Kingdom,GBR,2022,4.7201805
Saint Kitts and Nevis,KNA,2022,4.708081
World,OWID_WRL,2022,4.658219
Andorra,AND,2022,4.6171236
Asia,,2022,4.611434
Lithuania,LTU,2022,4.606163
France,FRA,2022,4.603891
Hungary,HUN,2022,4.449911
Barbados,BRB,2022,4.3772573
Guyana,GUY,2022,4.3736935
