
Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Rank
Germany,7.9837584,84086228.0,Europe,671324129.1193153,1st
China,7.992761,1425179562.0,Asia,11391119621.150682,1st
South Africa,6.7461643,62378419.0,Africa,420815063.3482417,1st
United States,14.949616,341534041.0,North America,5105802763.878256,1st
Brazil,2.2454574,210306411.0,South America,472234086.84739137,1st
Australia,14.985412,26200987.0,Oceania,392632585.001644,1st
Italy,5.726825,59619106.0,Europe,341428186.71845,2nd
India,1.9966822,1425423212.0,Asia,2846117154.867226,2nd
Egypt,2.333106,112618251.0,Africa,262750317.11760598,2nd
Canada,14.249212,38821260.0,North America,553172363.84712,2nd
Argentina,4.2378173,45407904.0,South America,192430401.1279392,2nd
New Zealand,6.212154,5131733.0,Oceania,31879115.682882,2nd
United Kingdom,4.7201805,68179315.0,Europe,321818673.16635746,3rd
Russia,11.416899,145579890.0,Asia,1662070900.56111,3rd
Algeria,3.9272263,45477391.0,Africa,178600005.9905833,3rd
Mexico,4.0153365,128613113.0,North America,516424927.0075245,3rd
Colombia,1.9223082,51737944.0,South America,99456274.00234081,3rd
Papua New Guinea,0.77131313,10203176.0,Oceania,7869843.616500881,3rd
Poland,8.106886,38385734.0,Europe,311188769.56432396,4th
Japan,8.501681,124997586.0,Asia,1062689601.942066,4th
Nigeria,0.5891771,223150906.0,Africa,131475403.6594526,4th
Trinidad and Tobago,22.423758,1495922.0,North America,33544192.914876,4th
Chile,4.3041654,19553032.0,South America,84159483.79949279,4th
New Caledonia,17.641167,287131.0,Oceania,5065325.921877,4th
France,4.603891,66277412.0,Europe,305133980.610092,5th
Indonesia,2.6456614,278830529.0,Asia,737691167.7168806,5th
Morocco,1.8263615,37329069.0,Africa,68176374.4524435,5th
Dominican Republic,2.1051137,11230734.0,North America,23641972.0044558,5th
Venezuela,2.7168686,28213016.0,South America,76651057.2816976,5th
Fiji,1.1550449,919428.0,Oceania,1061980.6223172,5th
Europe Others,211.7845704,,Europe,1506246320.5896702,Others
Asia Others,330.86859875,,Asia,5779332274.47821,Others
Africa Others,50.614437412,,Africa,386660567.8045748,Others
North America Others,134.65400134,,North America,103684297.08858277,Others
South America Others,19.6719015,,South America,146353683.8087869,Others
Oceania Others,39.71246523,,Oceania,2477044.56084525,Others
Europe Sum,242.9261113,,Europe,3457140059.768209,Total
Asia Sum,363.42228335,,Asia,23479020720.716175,Total
Africa Sum,66.036472612,,Africa,1448477732.372902,Total
North America Sum,192.39703754,,North America,6336270516.740815,Total
South America Sum,35.098518399999996,,South America,1071284986.8676487,Total
Oceania Sum,80.47755626,,Oceania,440985895.40606636,Total
