Entity,Total,Land_Use,Fossils
United States,3206898121.50289,740167615.2890173,2466730501.9768786
China,2781552493.534483,534834891.45689654,2246717607.448276
Russia,1353693857.245509,639377852.908982,714315999.3892215
Brazil,1088389117.1311476,947595789.590164,140793331.55081967
Indonesia,699998156.5671642,582743579.3283582,117254576.32686567
India,645588717.2467532,257662088.2987013,387926623.1051948
Germany,541181324.8323699,-705119.478150289,541886443.3872832
Japan,471314683.4387097,34315245.72645161,436999433.6870968
United Kingdom,453651222.4046243,18711181.598554913,434940039.2254335
Canada,434619878.67052025,234545705.433526,200074173.64393064
Mexico,274358067.8636364,114362025.43560606,159996043.28833336
Thailand,266229126.06741574,178896230.51460674,87332895.3595281
Ukraine,265747363.8443114,80349216.54131736,185398147.0181437
Democratic Republic of Congo,234038559.592233,231872595.6116505,2165964.127184466
South Africa,207246542.20143884,49980481.38122302,157266059.66906476
Saudi Arabia,204575668.00011492,2324083.618827586,202251584.9770115
France,200387933.22543353,-25490027.29895954,225877960.08092487
Colombia,197937525.25490198,162292109.89960784,35645414.83137255
Australia,190885938.25433525,79416236.9901734,111469701.48554914
Iran,188481261.76106194,12793242.231858408,175688020.81221238
South Korea,171180943.84649122,-124441.01596491228,171305384.79842106
Argentina,159598165.3529412,94785582.36176471,64812583.21985294
Poland,159592523.8381503,-4820507.868208093,164413032.2184971
Italy,153150811.62576687,-2778314.170552147,155929125.8785276
Malaysia,152815858.83333334,103654044.66666667,49161814.43416667
Nigeria,140031677.03703704,99096382.65925926,40935294.36296296
Philippines,128727334.56637168,96157509.98230088,32569824.50442478
Venezuela,112181587.12321427,43941923.49375,68239663.96428572
Turkey,111967531.9113924,37367681.908227846,74599849.84601265
Vietnam,110616864.20801526,72271185.8290458,38345678.13022901
Kazakhstan,109718641.21556886,24533607.586826347,85185033.65891019
Tanzania,105060448.90410958,101271437.69863014,3789011.5868493146
Spain,100865930.65895954,12443424.817109827,88422505.99768786
Pakistan,98944115.87012987,28098518.637662336,70845597.54545455
Angola,87175543.3150685,77874509.4520548,9301034.09589041
United Arab Emirates,85490953.19654843,23334.527786562503,85467618.59375
Ethiopia,83385873.61794871,79536138.9397436,3849735.826153846
Netherlands,75427557.67052023,6024078.551092486,69403479.52196531
Belgium,74999217.53179191,2202823.248609827,72796394.26011561
Cote d'Ivoire,74808073.41618498,72689806.11560693,2118266.9959537573
Czechia,72963966.8588957,-1731454.226196319,74695420.96993865
Madagascar,72495389.2,71179782.175,1315607.47225
Romania,71368925.96969697,18438950.372,52929975.987878785
Zambia,69299891.34246576,65622366.12328767,3677525.126027397
Myanmar,69235265.34536843,62139134.0611579,7096131.608
Egypt,65071458.665178575,2760534.1654910715,62310925.08035714
Bolivia,62155865.957894735,56024070.16842105,6131796.293263158
Belarus,60246742.61077844,29879981.57964072,30366761.066227548
Paraguay,58144309.8630137,55468103.69863014,2676206.146986301
North Korea,57797681.0,12074186.816666666,45723494.09736843
Cuba,57460872.451219514,37168575.11878049,20292297.36585366
Iraq,56039020.62083334,5915090.2734375,50123930.41458333
Algeria,56035469.26168224,8588317.625233645,47447151.81869159
Chile,54603782.390625,30494621.1528125,24109161.403125
Peru,51360190.76258993,36928159.699280575,14432031.216546763
Ecuador,50027658.76415094,37768034.454245284,12259624.326037735
Mozambique,49892663.5625,47895421.604166664,1997241.568125
Sweden,49039781.387283236,19775102.738843933,29264678.742254335
Kuwait,47486879.248571426,-1329.0326588311689,47488208.51948052
Cambodia,45951371.544117644,42905075.3382353,3046296.5147058824
Guatemala,43904529.80487805,38052225.896341465,5852303.880487804
Kenya,42627072.36986301,35310644.0890411,7316428.178082191
Bangladesh,42248340.81818182,19262050.272727273,22986291.07792208
Uzbekistan,41239393.17365269,2418038.5992101794,38821354.65538922
Ghana,40805008.94520548,35482553.51150685,5322455.322739726
Finland,40335715.28220859,20317635.20552147,20018080.09834356
Greece,39205068.65492958,9672716.149295775,29532352.45915493
Nicaragua,38772731.5125,36429772.43125,2342959.14875
Sudan,38738323.46575342,31877812.214931507,6860511.3283561645
Laos,38570302.441176474,35633354.308823526,2936948.1761764702
Cameroon,36877423.76712329,32904605.09589041,3972818.8217808222
New Zealand,36641427.15862069,23198868.81586207,13442558.429448275
Bulgaria,35025595.55845071,7443174.258169014,27582420.894366197
Uganda,33745756.31506849,32124236.573972605,1621519.699452055
Austria,33607079.36127168,1197746.7706069364,32409332.650289018
Hungary,33290633.325581394,3613354.9847093024,29677278.465116277
Morocco,33288086.263157893,13512934.217694737,19775152.055768423
Libya,33012212.77123288,828287.8673972603,32183924.90410959
Denmark,32071566.83815029,8137006.338011561,23934560.52601156
Qatar,31228647.778513514,11986.72640945946,31216660.810405403
Honduras,29452919.45479452,25578957.169863015,3873962.184931507
Sri Lanka,29060124.602739725,21745460.938356165,7314663.643835616
Serbia,28333887.976377953,5531714.991574802,22802172.81889764
Congo,27646538.97260274,25287047.48630137,2359491.3710958906
Israel,27231635.04096774,506040.5552365592,26725594.73978495
Slovakia,27052854.65030675,2706544.4260736196,24346310.209202453
Guinea,26829619.08352601,26261938.495664738,567680.4750289018
Syria,26176454.483695652,4991606.550597826,21184847.74021739
Zimbabwe,25355914.139166664,18700127.509166665,6655786.655083333
Oman,25076953.080067795,91262.78894915256,24985690.22881356
Mongolia,24890317.60958904,14383000.397945205,10507317.215068493
Norway,23964216.38150289,8302641.580924856,15661574.86751445
Ireland,23250119.028571427,2695565.1853571427,20554553.76357143
Panama,23041297.733333334,18597013.44,4444284.253333333
Costa Rica,22040312.71917808,18372051.884520546,3668260.8210958904
Nepal,21955373.739726026,19299627.712328766,2655746.109726027
Dominican Republic,21632960.34868421,11214740.396973684,10418220.033684209
Mali,21028322.3125,19687963.5296875,1340358.90578125
Azerbaijan,20839882.026993867,5258806.34601227,15581075.638404908
Switzerland,20277515.332121212,1515288.9375727272,18762226.36969697
South Sudan,20156360.93150685,19562874.78082192,593486.1920547945
Lithuania,20040585.01197605,10575848.972275449,9464735.998443114
Portugal,20029290.92156863,2417695.653204575,17611595.319607843
Niger,19008375.624931507,18250800.706849314,757574.9580821918
Benin,17789554.557534248,16015397.591780823,1774156.822328767
Gabon,17217459.089041095,13088958.85479452,4128500.2320547947
Malawi,16629834.17589041,15880620.318356164,749213.8352054794
Sierra Leone,16454320.834104048,16229991.984393064,224328.9196531792
Turkmenistan,16108920.90562874,1036572.806002994,15072348.185735328
Tunisia,15450935.909473686,4959660.619578947,10491275.284105264
Croatia,14493420.468503937,5466040.586228346,9027379.873543307
Bosnia and Herzegovina,14329875.901574804,6438132.725275591,7891743.217086615
Trinidad and Tobago,14242502.454210525,-120250.22515877194,14362752.658421053
Burkina Faso,14059455.434246575,12952276.560547944,1107178.822328767
Somalia,13573055.116438355,13106891.438356165,466163.7123287671
Liberia,12988835.571232878,12292609.535616439,696226.0558904109
Singapore,12783861.93501578,122651.65882965317,12661210.322543353
Moldova,11730134.580838323,3652448.7640718566,8077685.792946108
Bahrain,11237202.562444445,81.01511155555555,11237121.417333333
Guyana,11126342.708219178,9633256.321917808,1493086.384520548
Latvia,11103236.185628742,5328216.247005988,5775019.9571257485
Jordan,10921912.12328767,757559.1014246575,10164352.971780824
Papua New Guinea,10894823.570924856,9767097.074971098,1127726.5570520232
Estonia,10758716.823952096,850716.3147904191,9908000.475269461
Chad,10648198.960273974,10032686.539726026,615512.3821917808
Luxembourg,9756803.868589744,-108191.34242307693,9864995.256410256
Yemen,9696198.509383561,277392.40359315067,9418806.075342465
Slovenia,9216513.036220472,2233753.842291339,6982759.1496063
Senegal,8916154.603378378,5255320.713513514,3660833.891891892
Jamaica,8894526.02739726,2527206.8710273975,6367319.078082192
Lebanon,8613616.861758241,91401.0953076923,8522215.775824176
Kyrgyzstan,7410613.614371257,2256526.3915910176,5154087.201197006
Afghanistan,7240668.416486487,4122340.59204054,3118327.8167567565
Togo,7018559.267945206,6042956.9231643835,975602.3578082193
North Macedonia,6944763.312598426,2803402.2654330707,4141361.0630748034
Central African Republic,6843879.42739726,6682269.715068493,161609.72635616438
Bhutan,6532316.002080924,6409320.195722543,122995.81535260116
Uruguay,6479329.862637362,2217960.103186813,4261369.731868132
El Salvador,5998096.876712329,2600464.7781643835,3397632.1232876712
Albania,5975974.464444444,2654997.9115555556,3320976.5457777777
Namibia,5876422.881818182,3380296.481818182,2496126.360606061
Rwanda,5855585.591232877,5408602.575890412,446983.0153424658
Haiti,5226904.424273972,4123384.8156164386,1103519.6175342465
Botswana,5076598.084313726,1883129.3425490195,3193468.7215686277
Belize,4792091.749315068,4510268.000273973,281823.7530136986
Lesotho,4512906.3121212125,2406823.899090909,2106082.3878787877
Burundi,4494375.91630137,4295173.186164383,199202.72616438355
East Timor,4143502.589655172,3768758.824137931,374743.7586206897
Equatorial Guinea,3841399.66,1867204.0090410959,1974195.6575342466
Armenia,3715789.1653892216,1382097.665508982,2333691.5008232337
Tajikistan,3650084.318742515,695657.784251497,2954426.529760479
Cyprus,3568103.035342466,-641528.2515068493,4209631.290410959
Suriname,3527614.7056164383,1819955.4610958903,1707659.2589041097
