State,Year,Month,Value,Index
Alabama,1895,0,0.78,Min
Alabama,1895,1,-2.89,Min
Alabama,1895,2,5.78,Min
Alabama,1895,3,10.67,Min
Alabama,1895,4,14.67,Min
Alabama,1895,5,19.17,Min
Alabama,1895,6,20.44,Min
Alabama,1895,7,20.72,Min
Alabama,1895,8,19.11,Min
Alabama,1895,9,7.33,Min
Alabama,1895,10,5.22,Min
Alabama,1895,11,0.39,Min
Alabama,1896,0,1.11,Min
Alabama,1896,1,2.44,Min
Alabama,1896,2,5.11,Min
Alabama,1896,3,13.11,Min
Alabama,1896,4,17.72,Min
Alabama,1896,5,19.39,Min
Alabama,1896,6,21.5,Min
Alabama,1896,7,21.33,Min
Alabama,1896,8,17.0,Min
Alabama,1896,9,10.33,Min
Alabama,1896,10,7.67,Min
Alabama,1896,11,1.72,Min
Alabama,1897,0,-0.33,Min
Alabama,1897,1,5.11,Min
Alabama,1897,2,10.22,Min
Alabama,1897,3,10.06,Min
Alabama,1897,4,13.28,Min
Alabama,1897,5,20.17,Min
Alabama,1897,6,21.22,Min
Alabama,1897,7,20.06,Min
Alabama,1897,8,16.94,Min
Alabama,1897,9,11.72,Min
Alabama,1897,10,5.22,Min
Alabama,1897,11,2.72,Min
Alabama,1898,0,3.78,Min
Alabama,1898,1,1.22,Min
Alabama,1898,2,9.17,Min
Alabama,1898,3,8.0,Min
Alabama,1898,4,15.67,Min
Alabama,1898,5,20.0,Min
Alabama,1898,6,20.89,Min
Alabama,1898,7,20.67,Min
Alabama,1898,8,18.39,Min
Alabama,1898,9,9.78,Min
Alabama,1898,10,3.72,Min
Alabama,1898,11,0.28,Min
Alabama,1899,0,0.61,Min
Alabama,1899,1,-1.89,Min
Alabama,1899,2,6.39,Min
Alabama,1899,3,10.44,Min
Alabama,1899,4,17.56,Min
Alabama,1899,5,19.78,Min
Alabama,1899,6,20.5,Min
Alabama,1899,7,21.06,Min
Alabama,1899,8,15.22,Min
Alabama,1899,9,12.22,Min
Alabama,1899,10,6.0,Min
Alabama,1899,11,1.0,Min
Alabama,1900,0,-0.06,Min
Alabama,1900,1,0.22,Min
Alabama,1900,2,5.17,Min
Alabama,1900,3,10.89,Min
Alabama,1900,4,14.67,Min
Alabama,1900,5,19.67,Min
Alabama,1900,6,20.61,Min
Alabama,1900,7,20.5,Min
Alabama,1900,8,18.89,Min
Alabama,1900,9,14.56,Min
Alabama,1900,10,6.11,Min
Alabama,1900,11,2.06,Min
Alabama,1901,0,1.39,Min
Alabama,1901,1,0.17,Min
Alabama,1901,2,5.06,Min
Alabama,1901,3,7.89,Min
Alabama,1901,4,13.94,Min
Alabama,1901,5,19.17,Min
Alabama,1901,6,21.0,Min
Alabama,1901,7,19.89,Min
Alabama,1901,8,16.11,Min
Alabama,1901,9,9.33,Min
Alabama,1901,10,1.5,Min
Alabama,1901,11,-0.83,Min
Alabama,1902,0,-0.61,Min
Alabama,1902,1,-0.78,Min
Alabama,1902,2,6.67,Min
Alabama,1902,3,9.61,Min
Alabama,1902,4,17.28,Min
Alabama,1902,5,19.89,Min
Alabama,1902,6,21.17,Min
Alabama,1902,7,21.11,Min
Alabama,1902,8,16.94,Min
Alabama,1902,9,10.33,Min
Alabama,1902,10,7.72,Min
Alabama,1902,11,1.61,Min
Alabama,1903,0,0.72,Min
Alabama,1903,1,2.67,Min
Alabama,1903,2,10.28,Min
Alabama,1903,3,9.0,Min
Alabama,1903,4,14.83,Min
Alabama,1903,5,16.78,Min
Alabama,1903,6,20.44,Min
Alabama,1903,7,20.78,Min
Alabama,1903,8,15.44,Min
Alabama,1903,9,9.67,Min
Alabama,1903,10,3.72,Min
Alabama,1903,11,-2.61,Min
Alabama,1904,0,-1.28,Min
Alabama,1904,1,3.11,Min
Alabama,1904,2,7.67,Min
Alabama,1904,3,8.5,Min
Alabama,1904,4,13.44,Min
Alabama,1904,5,18.28,Min
Alabama,1904,6,19.22,Min
Alabama,1904,7,19.78,Min
Alabama,1904,8,17.61,Min
Alabama,1904,9,9.56,Min
Alabama,1904,10,4.0,Min
Alabama,1904,11,1.56,Min
Alabama,1905,0,-2.5,Min
Alabama,1905,1,-1.89,Min
Alabama,1905,2,8.17,Min
Alabama,1905,3,11.0,Min
Alabama,1905,4,17.61,Min
Alabama,1905,5,19.61,Min
Alabama,1905,6,20.22,Min
Alabama,1905,7,20.56,Min
Alabama,1905,8,17.94,Min
Alabama,1905,9,11.67,Min
Alabama,1905,10,5.94,Min
Alabama,1905,11,0.44,Min
Alabama,1906,0,1.72,Min
Alabama,1906,1,0.0,Min
Alabama,1906,2,4.39,Min
Alabama,1906,3,10.39,Min
Alabama,1906,4,14.28,Min
Alabama,1906,5,19.5,Min
Alabama,1906,6,20.28,Min
Alabama,1906,7,20.67,Min
Alabama,1906,8,20.06,Min
Alabama,1906,9,9.17,Min
Alabama,1906,10,5.11,Min
Alabama,1906,11,3.83,Min
Alabama,1907,0,5.67,Min
Alabama,1907,1,2.22,Min
Alabama,1907,2,10.67,Min
Alabama,1907,3,7.89,Min
Alabama,1907,4,14.11,Min
Alabama,1907,5,17.22,Min
Alabama,1907,6,20.89,Min
Alabama,1907,7,20.22,Min
Alabama,1907,8,17.5,Min
Alabama,1907,9,9.83,Min
Alabama,1907,10,4.0,Min
Alabama,1907,11,1.67,Min
Alabama,1908,0,0.11,Min
Alabama,1908,1,0.44,Min
Alabama,1908,2,9.89,Min
Alabama,1908,3,12.89,Min
Alabama,1908,4,15.33,Min
Alabama,1908,5,18.61,Min
Alabama,1908,6,20.39,Min
Alabama,1908,7,19.94,Min
Alabama,1908,8,16.67,Min
Alabama,1908,9,7.39,Min
Alabama,1908,10,6.28,Min
