"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y15-24","15-24 anni","2018","2018",620.788,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2018-Q2","T2-2018",623.86,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2018-Q1","T1-2018",611.286,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2018-Q4","T4-2018",613.4,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2018-Q3","T3-2018",634.604,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019","2019",638.635,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",598.491,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",651.342,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",634.646,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",670.063,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020","2020",603.523,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",580.777,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",614.702,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",622.548,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",596.063,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2021","2021",634.836,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2022","2022",700.142,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2023","2023",728.467,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2021-Q1","T1-2021",579.642,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2021-Q2","T2-2021",618.252,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2021-Q3","T3-2021",689.522,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2021-Q4","T4-2021",651.93,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2022-Q1","T1-2022",654.421,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2022-Q2","T2-2022",708.317,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2022-Q3","T3-2022",738.068,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2022-Q4","T4-2022",699.762,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",713.691,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",737.083,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",742.471,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",720.621,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2018","2018",398.275,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2018-Q2","T2-2018",399.455,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2018-Q1","T1-2018",387.677,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2018-Q4","T4-2018",394.926,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2018-Q3","T3-2018",411.039,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019","2019",422.566,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q1","T1-2019",409.65,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q2","T2-2019",418.387,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q4","T4-2019",420.264,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q3","T3-2019",441.962,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020","2020",355.894,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q2","T2-2020",321.796,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q1","T1-2020",382.965,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q3","T3-2020",379.625,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q4","T4-2020",339.192,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2021","2021",376.889,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2022","2022",445.705,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2023","2023",452.233,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2021-Q1","T1-2021",307.423,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2021-Q2","T2-2021",383.454,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2021-Q3","T3-2021",396.43,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2021-Q4","T4-2021",420.251,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2022-Q1","T1-2022",412.143,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2022-Q2","T2-2022",464.738,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2022-Q3","T3-2022",455.186,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2022-Q4","T4-2022",450.755,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",439.949,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",453.164,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",460.176,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",455.644,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2018","2018",1019.062,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2018-Q2","T2-2018",1023.316,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2018-Q1","T1-2018",998.964,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2018-Q4","T4-2018",1008.326,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2018-Q3","T3-2018",1045.643,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019","2019",1061.201,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q1","T1-2019",1008.141,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q2","T2-2019",1069.729,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q4","T4-2019",1054.91,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q3","T3-2019",1112.024,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020","2020",959.417,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q2","T2-2020",902.574,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q1","T1-2020",997.668,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q3","T3-2020",1002.173,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q4","T4-2020",935.255,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2021","2021",1011.726,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2022","2022",1145.848,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2023","2023",1180.7,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2021-Q1","T1-2021",887.065,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2021-Q2","T2-2021",1001.706,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2021-Q3","T3-2021",1085.952,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2021-Q4","T4-2021",1072.181,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2022-Q1","T1-2022",1066.565,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2022-Q2","T2-2022",1173.055,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2022-Q3","T3-2022",1193.254,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2022-Q4","T4-2022",1150.517,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",1153.641,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",1190.247,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",1202.647,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",1176.265,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2018","2018",341.839,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2018-Q2","T2-2018",349.449,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2018-Q1","T1-2018",345.059,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2018-Q4","T4-2018",335.423,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2018-Q3","T3-2018",337.425,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019","2019",355.859,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",344.744,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",370.436,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",347.845,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",360.413,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020","2020",336.823,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",336.367,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",346.719,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",345.59,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",318.614,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2021","2021",345.228,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2022","2022",382.804,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2023","2023",397.559,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2021-Q1","T1-2021",309.731,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2021-Q2","T2-2021",338.984,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2021-Q3","T3-2021",376.273,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2021-Q4","T4-2021",355.923,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2022-Q1","T1-2022",360.102,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2022-Q2","T2-2022",383.715,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2022-Q3","T3-2022",408.266,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2022-Q4","T4-2022",379.134,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",395.463,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",407.358,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",395.49,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",391.926,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2018","2018",227.63,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2018-Q2","T2-2018",228.715,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2018-Q1","T1-2018",223.283,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2018-Q4","T4-2018",226.658,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2018-Q3","T3-2018",231.862,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019","2019",248.888,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q1","T1-2019",238.586,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q2","T2-2019",251.65,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q4","T4-2019",255.521,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q3","T3-2019",249.793,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020","2020",211.431,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q2","T2-2020",190.151,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q1","T1-2020",231.179,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q3","T3-2020",216.783,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q4","T4-2020",207.612,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2021","2021",216.665,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022","2022",261.928,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023","2023",273.367,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2021-Q1","T1-2021",179.324,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2021-Q2","T2-2021",222.699,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2021-Q3","T3-2021",220.764,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2021-Q4","T4-2021",243.872,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q1","T1-2022",237.911,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q2","T2-2022",265.354,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q3","T3-2022",271.082,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q4","T4-2022",273.364,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",264.069,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",277.986,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",278.654,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",272.759,,
