sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,10.4
F,Y15-29,PC_POP,BE,Belgium,13.1
F,Y15-29,PC_POP,BG,Bulgaria,22.0
F,Y15-29,PC_POP,CH,Switzerland,6.5
F,Y15-29,PC_POP,CY,Cyprus,15.5
F,Y15-29,PC_POP,CZ,Czechia,15.3
F,Y15-29,PC_POP,DE,Germany,11.3
F,Y15-29,PC_POP,DK,Denmark,9.7
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),14.9
F,Y15-29,PC_POP,EE,Estonia,13.2
F,Y15-29,PC_POP,EL,Greece,20.6
F,Y15-29,PC_POP,ES,Spain,16.0
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),15.3
F,Y15-29,PC_POP,FI,Finland,10.6
F,Y15-29,PC_POP,FR,France,13.2
F,Y15-29,PC_POP,HR,Croatia,17.8
F,Y15-29,PC_POP,HU,Hungary,13.9
F,Y15-29,PC_POP,IE,Ireland,12.5
F,Y15-29,PC_POP,IS,Iceland,5.9
F,Y15-29,PC_POP,IT,Italy,26.1
F,Y15-29,PC_POP,LT,Lithuania,9.9
F,Y15-29,PC_POP,LU,Luxembourg,9.6
F,Y15-29,PC_POP,LV,Latvia,12.4
F,Y15-29,PC_POP,ME,Montenegro,20.8
F,Y15-29,PC_POP,MK,Macedonia,33.9
F,Y15-29,PC_POP,MT,Malta,9.0
F,Y15-29,PC_POP,NL,Netherlands,7.4
F,Y15-29,PC_POP,NO,Norway,8.7
F,Y15-29,PC_POP,PL,Poland,16.2
F,Y15-29,PC_POP,PT,Portugal,9.8
F,Y15-29,PC_POP,RO,Romania,26.3
F,Y15-29,PC_POP,RS,Serbia,23.1
F,Y15-29,PC_POP,SE,Sweden,7.0
F,Y15-29,PC_POP,SI,Slovenia,8.4
F,Y15-29,PC_POP,SK,Slovakia,17.6
F,Y15-29,PC_POP,TR,Turkey,40.2
M,Y15-29,PC_POP,AT,Austria,7.2
M,Y15-29,PC_POP,BE,Belgium,9.7
M,Y15-29,PC_POP,BG,Bulgaria,14.5
M,Y15-29,PC_POP,CH,Switzerland,6.6
M,Y15-29,PC_POP,CY,Cyprus,14.2
M,Y15-29,PC_POP,CZ,Czechia,4.0
M,Y15-29,PC_POP,DE,Germany,6.8
M,Y15-29,PC_POP,DK,Denmark,9.5
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),11.9
M,Y15-29,PC_POP,EE,Estonia,9.7
M,Y15-29,PC_POP,EL,Greece,17.8
M,Y15-29,PC_POP,ES,Spain,14.7
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),11.4
M,Y15-29,PC_POP,FI,Finland,8.6
M,Y15-29,PC_POP,FR,France,12.6
M,Y15-29,PC_POP,HR,Croatia,13.3
M,Y15-29,PC_POP,HU,Hungary,7.5
M,Y15-29,PC_POP,IE,Ireland,10.7
M,Y15-29,PC_POP,IS,Iceland,4.9
M,Y15-29,PC_POP,IT,Italy,21.1
M,Y15-29,PC_POP,LT,Lithuania,8.8
M,Y15-29,PC_POP,LU,Luxembourg,5.4
M,Y15-29,PC_POP,LV,Latvia,10.8
M,Y15-29,PC_POP,ME,Montenegro,21.2
M,Y15-29,PC_POP,MK,Macedonia,25.9
M,Y15-29,PC_POP,MT,Malta,6.1
M,Y15-29,PC_POP,NL,Netherlands,5.2
M,Y15-29,PC_POP,NO,Norway,6.7
M,Y15-29,PC_POP,PL,Poland,8.4
M,Y15-29,PC_POP,PT,Portugal,9.2
M,Y15-29,PC_POP,RO,Romania,16.6
M,Y15-29,PC_POP,RS,Serbia,18.6
M,Y15-29,PC_POP,SE,Sweden,6.1
M,Y15-29,PC_POP,SI,Slovenia,6.6
M,Y15-29,PC_POP,SK,Slovakia,10.1
M,Y15-29,PC_POP,TR,Turkey,15.3
T,Y15-29,PC_POP,AT,Austria,8.8
T,Y15-29,PC_POP,BE,Belgium,11.4
T,Y15-29,PC_POP,BG,Bulgaria,18.1
T,Y15-29,PC_POP,CH,Switzerland,6.6
T,Y15-29,PC_POP,CY,Cyprus,14.9
T,Y15-29,PC_POP,CZ,Czechia,9.5
T,Y15-29,PC_POP,DE,Germany,9.0
T,Y15-29,PC_POP,DK,Denmark,9.6
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),13.4
T,Y15-29,PC_POP,EE,Estonia,11.5
T,Y15-29,PC_POP,EL,Greece,19.2
T,Y15-29,PC_POP,ES,Spain,15.3
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),13.3
T,Y15-29,PC_POP,FI,Finland,9.6
T,Y15-29,PC_POP,FR,France,12.9
T,Y15-29,PC_POP,HR,Croatia,15.5
T,Y15-29,PC_POP,HU,Hungary,10.6
T,Y15-29,PC_POP,IE,Ireland,11.6
T,Y15-29,PC_POP,IS,Iceland,5.4
T,Y15-29,PC_POP,IT,Italy,23.5
T,Y15-29,PC_POP,LT,Lithuania,9.3
T,Y15-29,PC_POP,LU,Luxembourg,7.5
T,Y15-29,PC_POP,LV,Latvia,11.6
T,Y15-29,PC_POP,ME,Montenegro,21.0
T,Y15-29,PC_POP,MK,Macedonia,29.8
T,Y15-29,PC_POP,MT,Malta,7.4
T,Y15-29,PC_POP,NL,Netherlands,6.3
T,Y15-29,PC_POP,NO,Norway,7.6
T,Y15-29,PC_POP,PL,Poland,12.2
T,Y15-29,PC_POP,PT,Portugal,9.5
T,Y15-29,PC_POP,RO,Romania,21.3
T,Y15-29,PC_POP,RS,Serbia,20.8
T,Y15-29,PC_POP,SE,Sweden,6.5
T,Y15-29,PC_POP,SI,Slovenia,7.5
T,Y15-29,PC_POP,SK,Slovakia,13.8
T,Y15-29,PC_POP,TR,Turkey,27.6
