sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,BE,Belgium,2014,14.2
F,Y15-29,PC_POP,BE,Belgium,2015,15.0
F,Y15-29,PC_POP,BE,Belgium,2016,14.0
F,Y15-29,PC_POP,BE,Belgium,2017,13.2
F,Y15-29,PC_POP,BE,Belgium,2018,13.1
F,Y15-29,PC_POP,BE,Belgium,2019,12.5
F,Y15-29,PC_POP,BE,Belgium,2020,12.4
F,Y15-29,PC_POP,BE,Belgium,2021,9.7
F,Y15-29,PC_POP,BE,Belgium,2022,9.1
F,Y15-29,PC_POP,BE,Belgium,2023,9.5
M,Y15-29,PC_POP,BE,Belgium,2014,12.3
M,Y15-29,PC_POP,BE,Belgium,2015,12.2
M,Y15-29,PC_POP,BE,Belgium,2016,10.6
M,Y15-29,PC_POP,BE,Belgium,2017,10.5
M,Y15-29,PC_POP,BE,Belgium,2018,9.7
M,Y15-29,PC_POP,BE,Belgium,2019,9.8
M,Y15-29,PC_POP,BE,Belgium,2020,10.3
M,Y15-29,PC_POP,BE,Belgium,2021,10.4
M,Y15-29,PC_POP,BE,Belgium,2022,9.3
M,Y15-29,PC_POP,BE,Belgium,2023,9.8
T,Y15-29,PC_POP,BE,Belgium,2014,13.3
T,Y15-29,PC_POP,BE,Belgium,2015,13.6
T,Y15-29,PC_POP,BE,Belgium,2016,12.2
T,Y15-29,PC_POP,BE,Belgium,2017,11.8
T,Y15-29,PC_POP,BE,Belgium,2018,11.4
T,Y15-29,PC_POP,BE,Belgium,2019,11.2
T,Y15-29,PC_POP,BE,Belgium,2020,11.3
T,Y15-29,PC_POP,BE,Belgium,2021,10.1
T,Y15-29,PC_POP,BE,Belgium,2022,9.2
T,Y15-29,PC_POP,BE,Belgium,2023,9.6
