sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,BG,Bulgaria,2014,27.0
F,Y15-29,PC_POP,BG,Bulgaria,2015,24.9
F,Y15-29,PC_POP,BG,Bulgaria,2016,26.0
F,Y15-29,PC_POP,BG,Bulgaria,2017,23.3
F,Y15-29,PC_POP,BG,Bulgaria,2018,22.0
F,Y15-29,PC_POP,BG,Bulgaria,2019,20.3
F,Y15-29,PC_POP,BG,Bulgaria,2020,21.5
F,Y15-29,PC_POP,BG,Bulgaria,2021,20.6
F,Y15-29,PC_POP,BG,Bulgaria,2022,16.9
F,Y15-29,PC_POP,BG,Bulgaria,2023,15.2
M,Y15-29,PC_POP,BG,Bulgaria,2014,21.1
M,Y15-29,PC_POP,BG,Bulgaria,2015,19.6
M,Y15-29,PC_POP,BG,Bulgaria,2016,18.9
M,Y15-29,PC_POP,BG,Bulgaria,2017,14.7
M,Y15-29,PC_POP,BG,Bulgaria,2018,14.5
M,Y15-29,PC_POP,BG,Bulgaria,2019,13.1
M,Y15-29,PC_POP,BG,Bulgaria,2020,14.7
M,Y15-29,PC_POP,BG,Bulgaria,2021,14.4
M,Y15-29,PC_POP,BG,Bulgaria,2022,12.7
M,Y15-29,PC_POP,BG,Bulgaria,2023,12.5
T,Y15-29,PC_POP,BG,Bulgaria,2014,23.9
T,Y15-29,PC_POP,BG,Bulgaria,2015,22.2
T,Y15-29,PC_POP,BG,Bulgaria,2016,22.4
T,Y15-29,PC_POP,BG,Bulgaria,2017,18.9
T,Y15-29,PC_POP,BG,Bulgaria,2018,18.1
T,Y15-29,PC_POP,BG,Bulgaria,2019,16.6
T,Y15-29,PC_POP,BG,Bulgaria,2020,18.0
T,Y15-29,PC_POP,BG,Bulgaria,2021,17.4
T,Y15-29,PC_POP,BG,Bulgaria,2022,14.8
T,Y15-29,PC_POP,BG,Bulgaria,2023,13.8
