sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,DK,Denmark,2014,8.7
F,Y15-29,PC_POP,DK,Denmark,2015,8.9
F,Y15-29,PC_POP,DK,Denmark,2016,8.7
F,Y15-29,PC_POP,DK,Denmark,2017,10.5
F,Y15-29,PC_POP,DK,Denmark,2018,9.7
F,Y15-29,PC_POP,DK,Denmark,2019,9.6
F,Y15-29,PC_POP,DK,Denmark,2020,10.4
F,Y15-29,PC_POP,DK,Denmark,2021,8.9
F,Y15-29,PC_POP,DK,Denmark,2022,8.3
F,Y15-29,PC_POP,DK,Denmark,2023,8.9
M,Y15-29,PC_POP,DK,Denmark,2014,7.4
M,Y15-29,PC_POP,DK,Denmark,2015,8.2
M,Y15-29,PC_POP,DK,Denmark,2016,8.2
M,Y15-29,PC_POP,DK,Denmark,2017,9.1
M,Y15-29,PC_POP,DK,Denmark,2018,9.5
M,Y15-29,PC_POP,DK,Denmark,2019,9.5
M,Y15-29,PC_POP,DK,Denmark,2020,9.9
M,Y15-29,PC_POP,DK,Denmark,2021,8.0
M,Y15-29,PC_POP,DK,Denmark,2022,7.6
M,Y15-29,PC_POP,DK,Denmark,2023,8.3
T,Y15-29,PC_POP,DK,Denmark,2014,8.0
T,Y15-29,PC_POP,DK,Denmark,2015,8.5
T,Y15-29,PC_POP,DK,Denmark,2016,8.4
T,Y15-29,PC_POP,DK,Denmark,2017,9.8
T,Y15-29,PC_POP,DK,Denmark,2018,9.6
T,Y15-29,PC_POP,DK,Denmark,2019,9.6
T,Y15-29,PC_POP,DK,Denmark,2020,10.2
T,Y15-29,PC_POP,DK,Denmark,2021,8.4
T,Y15-29,PC_POP,DK,Denmark,2022,7.9
T,Y15-29,PC_POP,DK,Denmark,2023,8.6
