sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,EL,Greece,2014,26.9
F,Y15-29,PC_POP,EL,Greece,2015,24.6
F,Y15-29,PC_POP,EL,Greece,2016,23.3
F,Y15-29,PC_POP,EL,Greece,2017,23.1
F,Y15-29,PC_POP,EL,Greece,2018,20.6
F,Y15-29,PC_POP,EL,Greece,2019,18.0
F,Y15-29,PC_POP,EL,Greece,2020,18.5
F,Y15-29,PC_POP,EL,Greece,2021,17.9
F,Y15-29,PC_POP,EL,Greece,2022,16.5
F,Y15-29,PC_POP,EL,Greece,2023,17.2
M,Y15-29,PC_POP,EL,Greece,2014,25.7
M,Y15-29,PC_POP,EL,Greece,2015,23.0
M,Y15-29,PC_POP,EL,Greece,2016,20.5
M,Y15-29,PC_POP,EL,Greece,2017,18.8
M,Y15-29,PC_POP,EL,Greece,2018,17.8
M,Y15-29,PC_POP,EL,Greece,2019,16.9
M,Y15-29,PC_POP,EL,Greece,2020,18.5
M,Y15-29,PC_POP,EL,Greece,2021,16.5
M,Y15-29,PC_POP,EL,Greece,2022,14.1
M,Y15-29,PC_POP,EL,Greece,2023,14.6
T,Y15-29,PC_POP,EL,Greece,2014,26.3
T,Y15-29,PC_POP,EL,Greece,2015,23.8
T,Y15-29,PC_POP,EL,Greece,2016,21.9
T,Y15-29,PC_POP,EL,Greece,2017,21.0
T,Y15-29,PC_POP,EL,Greece,2018,19.2
T,Y15-29,PC_POP,EL,Greece,2019,17.5
T,Y15-29,PC_POP,EL,Greece,2020,18.5
T,Y15-29,PC_POP,EL,Greece,2021,17.2
T,Y15-29,PC_POP,EL,Greece,2022,15.3
T,Y15-29,PC_POP,EL,Greece,2023,15.9
