sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,IE,Ireland,2014,18.2
F,Y15-29,PC_POP,IE,Ireland,2015,16.6
F,Y15-29,PC_POP,IE,Ireland,2016,14.6
F,Y15-29,PC_POP,IE,Ireland,2017,13.8
F,Y15-29,PC_POP,IE,Ireland,2018,12.5
F,Y15-29,PC_POP,IE,Ireland,2019,12.4
F,Y15-29,PC_POP,IE,Ireland,2020,14.5
F,Y15-29,PC_POP,IE,Ireland,2021,9.5
F,Y15-29,PC_POP,IE,Ireland,2022,9.5
F,Y15-29,PC_POP,IE,Ireland,2023,8.7
M,Y15-29,PC_POP,IE,Ireland,2014,17.3
M,Y15-29,PC_POP,IE,Ireland,2015,16.3
M,Y15-29,PC_POP,IE,Ireland,2016,14.3
M,Y15-29,PC_POP,IE,Ireland,2017,11.8
M,Y15-29,PC_POP,IE,Ireland,2018,10.7
M,Y15-29,PC_POP,IE,Ireland,2019,10.5
M,Y15-29,PC_POP,IE,Ireland,2020,13.8
M,Y15-29,PC_POP,IE,Ireland,2021,9.9
M,Y15-29,PC_POP,IE,Ireland,2022,7.7
M,Y15-29,PC_POP,IE,Ireland,2023,8.3
T,Y15-29,PC_POP,IE,Ireland,2014,17.8
T,Y15-29,PC_POP,IE,Ireland,2015,16.5
T,Y15-29,PC_POP,IE,Ireland,2016,14.5
T,Y15-29,PC_POP,IE,Ireland,2017,12.8
T,Y15-29,PC_POP,IE,Ireland,2018,11.6
T,Y15-29,PC_POP,IE,Ireland,2019,11.4
T,Y15-29,PC_POP,IE,Ireland,2020,14.1
T,Y15-29,PC_POP,IE,Ireland,2021,9.7
T,Y15-29,PC_POP,IE,Ireland,2022,8.6
T,Y15-29,PC_POP,IE,Ireland,2023,8.5
