sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,IT,Italy,2014,28.4
F,Y15-29,PC_POP,IT,Italy,2015,27.9
F,Y15-29,PC_POP,IT,Italy,2016,27.0
F,Y15-29,PC_POP,IT,Italy,2017,26.6
F,Y15-29,PC_POP,IT,Italy,2018,26.1
F,Y15-29,PC_POP,IT,Italy,2019,24.9
F,Y15-29,PC_POP,IT,Italy,2020,26.1
F,Y15-29,PC_POP,IT,Italy,2021,25.0
F,Y15-29,PC_POP,IT,Italy,2022,20.5
F,Y15-29,PC_POP,IT,Italy,2023,17.8
M,Y15-29,PC_POP,IT,Italy,2014,24.3
M,Y15-29,PC_POP,IT,Italy,2015,23.8
M,Y15-29,PC_POP,IT,Italy,2016,22.0
M,Y15-29,PC_POP,IT,Italy,2017,22.0
M,Y15-29,PC_POP,IT,Italy,2018,21.1
M,Y15-29,PC_POP,IT,Italy,2019,19.9
M,Y15-29,PC_POP,IT,Italy,2020,21.0
M,Y15-29,PC_POP,IT,Italy,2021,21.2
M,Y15-29,PC_POP,IT,Italy,2022,17.7
M,Y15-29,PC_POP,IT,Italy,2023,14.4
T,Y15-29,PC_POP,IT,Italy,2014,26.3
T,Y15-29,PC_POP,IT,Italy,2015,25.8
T,Y15-29,PC_POP,IT,Italy,2016,24.4
T,Y15-29,PC_POP,IT,Italy,2017,24.2
T,Y15-29,PC_POP,IT,Italy,2018,23.5
T,Y15-29,PC_POP,IT,Italy,2019,22.3
T,Y15-29,PC_POP,IT,Italy,2020,23.5
T,Y15-29,PC_POP,IT,Italy,2021,23.1
T,Y15-29,PC_POP,IT,Italy,2022,19.0
T,Y15-29,PC_POP,IT,Italy,2023,16.1
