sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,LV,Latvia,2014,17.9
F,Y15-29,PC_POP,LV,Latvia,2015,15.4
F,Y15-29,PC_POP,LV,Latvia,2016,13.6
F,Y15-29,PC_POP,LV,Latvia,2017,13.5
F,Y15-29,PC_POP,LV,Latvia,2018,12.4
F,Y15-29,PC_POP,LV,Latvia,2019,10.6
F,Y15-29,PC_POP,LV,Latvia,2020,12.6
F,Y15-29,PC_POP,LV,Latvia,2021,12.6
F,Y15-29,PC_POP,LV,Latvia,2022,11.6
F,Y15-29,PC_POP,LV,Latvia,2023,10.4
M,Y15-29,PC_POP,LV,Latvia,2014,12.6
M,Y15-29,PC_POP,LV,Latvia,2015,12.2
M,Y15-29,PC_POP,LV,Latvia,2016,12.9
M,Y15-29,PC_POP,LV,Latvia,2017,11.1
M,Y15-29,PC_POP,LV,Latvia,2018,10.8
M,Y15-29,PC_POP,LV,Latvia,2019,10.0
M,Y15-29,PC_POP,LV,Latvia,2020,11.3
M,Y15-29,PC_POP,LV,Latvia,2021,11.5
M,Y15-29,PC_POP,LV,Latvia,2022,11.0
M,Y15-29,PC_POP,LV,Latvia,2023,9.6
T,Y15-29,PC_POP,LV,Latvia,2014,15.2
T,Y15-29,PC_POP,LV,Latvia,2015,13.8
T,Y15-29,PC_POP,LV,Latvia,2016,13.3
T,Y15-29,PC_POP,LV,Latvia,2017,12.3
T,Y15-29,PC_POP,LV,Latvia,2018,11.6
T,Y15-29,PC_POP,LV,Latvia,2019,10.2
T,Y15-29,PC_POP,LV,Latvia,2020,11.9
T,Y15-29,PC_POP,LV,Latvia,2021,12.1
T,Y15-29,PC_POP,LV,Latvia,2022,11.3
T,Y15-29,PC_POP,LV,Latvia,2023,10.0
