sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,LT,Lithuania,2014,14.3
F,Y15-29,PC_POP,LT,Lithuania,2015,13.0
F,Y15-29,PC_POP,LT,Lithuania,2016,10.7
F,Y15-29,PC_POP,LT,Lithuania,2017,10.8
F,Y15-29,PC_POP,LT,Lithuania,2018,9.9
F,Y15-29,PC_POP,LT,Lithuania,2019,11.0
F,Y15-29,PC_POP,LT,Lithuania,2020,12.4
F,Y15-29,PC_POP,LT,Lithuania,2021,13.5
F,Y15-29,PC_POP,LT,Lithuania,2022,11.8
F,Y15-29,PC_POP,LT,Lithuania,2023,14.1
M,Y15-29,PC_POP,LT,Lithuania,2014,11.5
M,Y15-29,PC_POP,LT,Lithuania,2015,10.7
M,Y15-29,PC_POP,LT,Lithuania,2016,10.8
M,Y15-29,PC_POP,LT,Lithuania,2017,9.8
M,Y15-29,PC_POP,LT,Lithuania,2018,8.8
M,Y15-29,PC_POP,LT,Lithuania,2019,10.9
M,Y15-29,PC_POP,LT,Lithuania,2020,13.6
M,Y15-29,PC_POP,LT,Lithuania,2021,11.9
M,Y15-29,PC_POP,LT,Lithuania,2022,9.6
M,Y15-29,PC_POP,LT,Lithuania,2023,13.0
T,Y15-29,PC_POP,LT,Lithuania,2014,12.9
T,Y15-29,PC_POP,LT,Lithuania,2015,11.8
T,Y15-29,PC_POP,LT,Lithuania,2016,10.7
T,Y15-29,PC_POP,LT,Lithuania,2017,10.2
T,Y15-29,PC_POP,LT,Lithuania,2018,9.3
T,Y15-29,PC_POP,LT,Lithuania,2019,10.9
T,Y15-29,PC_POP,LT,Lithuania,2020,13.0
T,Y15-29,PC_POP,LT,Lithuania,2021,12.7
T,Y15-29,PC_POP,LT,Lithuania,2022,10.7
T,Y15-29,PC_POP,LT,Lithuania,2023,13.5
