sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,LU,Luxembourg,2014,5.6
F,Y15-29,PC_POP,LU,Luxembourg,2015,8.6
F,Y15-29,PC_POP,LU,Luxembourg,2016,8.3
F,Y15-29,PC_POP,LU,Luxembourg,2017,6.9
F,Y15-29,PC_POP,LU,Luxembourg,2018,9.6
F,Y15-29,PC_POP,LU,Luxembourg,2019,5.9
F,Y15-29,PC_POP,LU,Luxembourg,2020,6.6
F,Y15-29,PC_POP,LU,Luxembourg,2021,8.5
F,Y15-29,PC_POP,LU,Luxembourg,2022,6.4
F,Y15-29,PC_POP,LU,Luxembourg,2023,10.0
M,Y15-29,PC_POP,LU,Luxembourg,2014,7.3
M,Y15-29,PC_POP,LU,Luxembourg,2015,6.5
M,Y15-29,PC_POP,LU,Luxembourg,2016,5.4
M,Y15-29,PC_POP,LU,Luxembourg,2017,6.4
M,Y15-29,PC_POP,LU,Luxembourg,2018,5.4
M,Y15-29,PC_POP,LU,Luxembourg,2019,7.0
M,Y15-29,PC_POP,LU,Luxembourg,2020,8.7
M,Y15-29,PC_POP,LU,Luxembourg,2021,9.0
M,Y15-29,PC_POP,LU,Luxembourg,2022,7.2
M,Y15-29,PC_POP,LU,Luxembourg,2023,7.0
T,Y15-29,PC_POP,LU,Luxembourg,2014,6.5
T,Y15-29,PC_POP,LU,Luxembourg,2015,7.6
T,Y15-29,PC_POP,LU,Luxembourg,2016,6.8
T,Y15-29,PC_POP,LU,Luxembourg,2017,6.6
T,Y15-29,PC_POP,LU,Luxembourg,2018,7.5
T,Y15-29,PC_POP,LU,Luxembourg,2019,6.5
T,Y15-29,PC_POP,LU,Luxembourg,2020,7.7
T,Y15-29,PC_POP,LU,Luxembourg,2021,8.8
T,Y15-29,PC_POP,LU,Luxembourg,2022,6.8
T,Y15-29,PC_POP,LU,Luxembourg,2023,8.5
