sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,NL,Netherlands,2014,9.9
F,Y15-29,PC_POP,NL,Netherlands,2015,8.8
F,Y15-29,PC_POP,NL,Netherlands,2016,8.2
F,Y15-29,PC_POP,NL,Netherlands,2017,7.9
F,Y15-29,PC_POP,NL,Netherlands,2018,7.4
F,Y15-29,PC_POP,NL,Netherlands,2019,6.9
F,Y15-29,PC_POP,NL,Netherlands,2020,7.2
F,Y15-29,PC_POP,NL,Netherlands,2021,4.2
F,Y15-29,PC_POP,NL,Netherlands,2022,4.6
F,Y15-29,PC_POP,NL,Netherlands,2023,5.5
M,Y15-29,PC_POP,NL,Netherlands,2014,6.6
M,Y15-29,PC_POP,NL,Netherlands,2015,5.9
M,Y15-29,PC_POP,NL,Netherlands,2016,5.8
M,Y15-29,PC_POP,NL,Netherlands,2017,5.3
M,Y15-29,PC_POP,NL,Netherlands,2018,5.2
M,Y15-29,PC_POP,NL,Netherlands,2019,5.7
M,Y15-29,PC_POP,NL,Netherlands,2020,5.5
M,Y15-29,PC_POP,NL,Netherlands,2021,3.6
M,Y15-29,PC_POP,NL,Netherlands,2022,3.8
M,Y15-29,PC_POP,NL,Netherlands,2023,4.0
T,Y15-29,PC_POP,NL,Netherlands,2014,8.2
T,Y15-29,PC_POP,NL,Netherlands,2015,7.3
T,Y15-29,PC_POP,NL,Netherlands,2016,6.9
T,Y15-29,PC_POP,NL,Netherlands,2017,6.5
T,Y15-29,PC_POP,NL,Netherlands,2018,6.3
T,Y15-29,PC_POP,NL,Netherlands,2019,6.3
T,Y15-29,PC_POP,NL,Netherlands,2020,6.3
T,Y15-29,PC_POP,NL,Netherlands,2021,3.9
T,Y15-29,PC_POP,NL,Netherlands,2022,4.2
T,Y15-29,PC_POP,NL,Netherlands,2023,4.7
