sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,MK,Macedonia,2014,36.2
F,Y15-29,PC_POP,MK,Macedonia,2015,35.3
F,Y15-29,PC_POP,MK,Macedonia,2016,34.0
F,Y15-29,PC_POP,MK,Macedonia,2017,35.7
F,Y15-29,PC_POP,MK,Macedonia,2018,33.9
F,Y15-29,PC_POP,MK,Macedonia,2019,28.3
F,Y15-29,PC_POP,MK,Macedonia,2020,29.0
M,Y15-29,PC_POP,MK,Macedonia,2014,27.8
M,Y15-29,PC_POP,MK,Macedonia,2015,29.9
M,Y15-29,PC_POP,MK,Macedonia,2016,28.7
M,Y15-29,PC_POP,MK,Macedonia,2017,26.7
M,Y15-29,PC_POP,MK,Macedonia,2018,25.9
M,Y15-29,PC_POP,MK,Macedonia,2019,20.9
M,Y15-29,PC_POP,MK,Macedonia,2020,23.6
T,Y15-29,PC_POP,MK,Macedonia,2014,31.9
T,Y15-29,PC_POP,MK,Macedonia,2015,32.5
T,Y15-29,PC_POP,MK,Macedonia,2016,31.3
T,Y15-29,PC_POP,MK,Macedonia,2017,31.1
T,Y15-29,PC_POP,MK,Macedonia,2018,29.8
T,Y15-29,PC_POP,MK,Macedonia,2019,24.5
T,Y15-29,PC_POP,MK,Macedonia,2020,26.2
