sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,NO,Norway,2014,9.8
F,Y15-29,PC_POP,NO,Norway,2015,9.4
F,Y15-29,PC_POP,NO,Norway,2016,9.0
F,Y15-29,PC_POP,NO,Norway,2017,9.1
F,Y15-29,PC_POP,NO,Norway,2018,8.7
F,Y15-29,PC_POP,NO,Norway,2019,8.8
F,Y15-29,PC_POP,NO,Norway,2020,8.5
F,Y15-29,PC_POP,NO,Norway,2021,7.3
F,Y15-29,PC_POP,NO,Norway,2022,6.8
F,Y15-29,PC_POP,NO,Norway,2023,6.2
M,Y15-29,PC_POP,NO,Norway,2014,7.1
M,Y15-29,PC_POP,NO,Norway,2015,7.3
M,Y15-29,PC_POP,NO,Norway,2016,7.7
M,Y15-29,PC_POP,NO,Norway,2017,6.3
M,Y15-29,PC_POP,NO,Norway,2018,6.7
M,Y15-29,PC_POP,NO,Norway,2019,6.3
M,Y15-29,PC_POP,NO,Norway,2020,7.2
M,Y15-29,PC_POP,NO,Norway,2021,7.5
M,Y15-29,PC_POP,NO,Norway,2022,6.8
M,Y15-29,PC_POP,NO,Norway,2023,6.6
T,Y15-29,PC_POP,NO,Norway,2014,8.4
T,Y15-29,PC_POP,NO,Norway,2015,8.3
T,Y15-29,PC_POP,NO,Norway,2016,8.4
T,Y15-29,PC_POP,NO,Norway,2017,7.7
T,Y15-29,PC_POP,NO,Norway,2018,7.6
T,Y15-29,PC_POP,NO,Norway,2019,7.5
T,Y15-29,PC_POP,NO,Norway,2020,7.8
T,Y15-29,PC_POP,NO,Norway,2021,7.4
T,Y15-29,PC_POP,NO,Norway,2022,6.8
T,Y15-29,PC_POP,NO,Norway,2023,6.4
