sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,RS,Serbia,2014,28.0
F,Y15-29,PC_POP,RS,Serbia,2015,27.0
F,Y15-29,PC_POP,RS,Serbia,2016,25.2
F,Y15-29,PC_POP,RS,Serbia,2017,24.3
F,Y15-29,PC_POP,RS,Serbia,2018,23.1
F,Y15-29,PC_POP,RS,Serbia,2019,21.6
F,Y15-29,PC_POP,RS,Serbia,2020,22.3
F,Y15-29,PC_POP,RS,Serbia,2021,21.0
F,Y15-29,PC_POP,RS,Serbia,2022,17.5
F,Y15-29,PC_POP,RS,Serbia,2023,16.6
M,Y15-29,PC_POP,RS,Serbia,2014,24.9
M,Y15-29,PC_POP,RS,Serbia,2015,24.1
M,Y15-29,PC_POP,RS,Serbia,2016,21.1
M,Y15-29,PC_POP,RS,Serbia,2017,20.7
M,Y15-29,PC_POP,RS,Serbia,2018,18.6
M,Y15-29,PC_POP,RS,Serbia,2019,17.9
M,Y15-29,PC_POP,RS,Serbia,2020,19.3
M,Y15-29,PC_POP,RS,Serbia,2021,17.3
M,Y15-29,PC_POP,RS,Serbia,2022,13.4
M,Y15-29,PC_POP,RS,Serbia,2023,14.0
T,Y15-29,PC_POP,RS,Serbia,2014,26.4
T,Y15-29,PC_POP,RS,Serbia,2015,25.5
T,Y15-29,PC_POP,RS,Serbia,2016,23.1
T,Y15-29,PC_POP,RS,Serbia,2017,22.5
T,Y15-29,PC_POP,RS,Serbia,2018,20.8
T,Y15-29,PC_POP,RS,Serbia,2019,19.7
T,Y15-29,PC_POP,RS,Serbia,2020,20.8
T,Y15-29,PC_POP,RS,Serbia,2021,19.1
T,Y15-29,PC_POP,RS,Serbia,2022,15.4
T,Y15-29,PC_POP,RS,Serbia,2023,15.2
