sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,SK,Slovakia,2014,19.2
F,Y15-29,PC_POP,SK,Slovakia,2015,18.9
F,Y15-29,PC_POP,SK,Slovakia,2016,18.5
F,Y15-29,PC_POP,SK,Slovakia,2017,19.1
F,Y15-29,PC_POP,SK,Slovakia,2018,17.6
F,Y15-29,PC_POP,SK,Slovakia,2019,17.2
F,Y15-29,PC_POP,SK,Slovakia,2020,17.8
F,Y15-29,PC_POP,SK,Slovakia,2021,17.5
F,Y15-29,PC_POP,SK,Slovakia,2022,13.9
F,Y15-29,PC_POP,SK,Slovakia,2023,12.4
M,Y15-29,PC_POP,SK,Slovakia,2014,15.8
M,Y15-29,PC_POP,SK,Slovakia,2015,14.0
M,Y15-29,PC_POP,SK,Slovakia,2016,11.8
M,Y15-29,PC_POP,SK,Slovakia,2017,11.3
M,Y15-29,PC_POP,SK,Slovakia,2018,10.1
M,Y15-29,PC_POP,SK,Slovakia,2019,10.3
M,Y15-29,PC_POP,SK,Slovakia,2020,11.1
M,Y15-29,PC_POP,SK,Slovakia,2021,11.1
M,Y15-29,PC_POP,SK,Slovakia,2022,10.8
M,Y15-29,PC_POP,SK,Slovakia,2023,10.0
T,Y15-29,PC_POP,SK,Slovakia,2014,17.5
T,Y15-29,PC_POP,SK,Slovakia,2015,16.4
T,Y15-29,PC_POP,SK,Slovakia,2016,15.1
T,Y15-29,PC_POP,SK,Slovakia,2017,15.1
T,Y15-29,PC_POP,SK,Slovakia,2018,13.8
T,Y15-29,PC_POP,SK,Slovakia,2019,13.7
T,Y15-29,PC_POP,SK,Slovakia,2020,14.4
T,Y15-29,PC_POP,SK,Slovakia,2021,14.2
T,Y15-29,PC_POP,SK,Slovakia,2022,12.3
T,Y15-29,PC_POP,SK,Slovakia,2023,11.2
