sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,SI,Slovenia,2014,12.1
F,Y15-29,PC_POP,SI,Slovenia,2015,10.6
F,Y15-29,PC_POP,SI,Slovenia,2016,9.3
F,Y15-29,PC_POP,SI,Slovenia,2017,8.7
F,Y15-29,PC_POP,SI,Slovenia,2018,8.4
F,Y15-29,PC_POP,SI,Slovenia,2019,9.2
F,Y15-29,PC_POP,SI,Slovenia,2020,8.9
F,Y15-29,PC_POP,SI,Slovenia,2021,8.2
F,Y15-29,PC_POP,SI,Slovenia,2022,9.8
F,Y15-29,PC_POP,SI,Slovenia,2023,9.0
M,Y15-29,PC_POP,SI,Slovenia,2014,10.0
M,Y15-29,PC_POP,SI,Slovenia,2015,10.4
M,Y15-29,PC_POP,SI,Slovenia,2016,9.4
M,Y15-29,PC_POP,SI,Slovenia,2017,7.2
M,Y15-29,PC_POP,SI,Slovenia,2018,6.6
M,Y15-29,PC_POP,SI,Slovenia,2019,5.9
M,Y15-29,PC_POP,SI,Slovenia,2020,6.9
M,Y15-29,PC_POP,SI,Slovenia,2021,6.6
M,Y15-29,PC_POP,SI,Slovenia,2022,7.2
M,Y15-29,PC_POP,SI,Slovenia,2023,6.7
T,Y15-29,PC_POP,SI,Slovenia,2014,11.0
T,Y15-29,PC_POP,SI,Slovenia,2015,10.5
T,Y15-29,PC_POP,SI,Slovenia,2016,9.3
T,Y15-29,PC_POP,SI,Slovenia,2017,7.9
T,Y15-29,PC_POP,SI,Slovenia,2018,7.5
T,Y15-29,PC_POP,SI,Slovenia,2019,7.5
T,Y15-29,PC_POP,SI,Slovenia,2020,7.9
T,Y15-29,PC_POP,SI,Slovenia,2021,7.3
T,Y15-29,PC_POP,SI,Slovenia,2022,8.4
T,Y15-29,PC_POP,SI,Slovenia,2023,7.8
