sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,SE,Sweden,2014,7.8
F,Y15-29,PC_POP,SE,Sweden,2015,7.4
F,Y15-29,PC_POP,SE,Sweden,2016,7.1
F,Y15-29,PC_POP,SE,Sweden,2017,7.0
F,Y15-29,PC_POP,SE,Sweden,2018,7.0
F,Y15-29,PC_POP,SE,Sweden,2019,6.2
F,Y15-29,PC_POP,SE,Sweden,2020,7.2
F,Y15-29,PC_POP,SE,Sweden,2021,6.3
F,Y15-29,PC_POP,SE,Sweden,2022,5.9
F,Y15-29,PC_POP,SE,Sweden,2023,5.7
M,Y15-29,PC_POP,SE,Sweden,2014,7.2
M,Y15-29,PC_POP,SE,Sweden,2015,6.8
M,Y15-29,PC_POP,SE,Sweden,2016,6.4
M,Y15-29,PC_POP,SE,Sweden,2017,5.9
M,Y15-29,PC_POP,SE,Sweden,2018,6.1
M,Y15-29,PC_POP,SE,Sweden,2019,5.7
M,Y15-29,PC_POP,SE,Sweden,2020,6.6
M,Y15-29,PC_POP,SE,Sweden,2021,5.8
M,Y15-29,PC_POP,SE,Sweden,2022,5.4
M,Y15-29,PC_POP,SE,Sweden,2023,5.6
T,Y15-29,PC_POP,SE,Sweden,2014,7.5
T,Y15-29,PC_POP,SE,Sweden,2015,7.1
T,Y15-29,PC_POP,SE,Sweden,2016,6.7
T,Y15-29,PC_POP,SE,Sweden,2017,6.5
T,Y15-29,PC_POP,SE,Sweden,2018,6.5
T,Y15-29,PC_POP,SE,Sweden,2019,5.9
T,Y15-29,PC_POP,SE,Sweden,2020,6.9
T,Y15-29,PC_POP,SE,Sweden,2021,6.1
T,Y15-29,PC_POP,SE,Sweden,2022,5.6
T,Y15-29,PC_POP,SE,Sweden,2023,5.7
