sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,TR,Turkey,2014,42.3
F,Y15-29,PC_POP,TR,Turkey,2015,41.6
F,Y15-29,PC_POP,TR,Turkey,2016,40.9
F,Y15-29,PC_POP,TR,Turkey,2017,40.7
F,Y15-29,PC_POP,TR,Turkey,2018,40.2
F,Y15-29,PC_POP,TR,Turkey,2019,40.8
F,Y15-29,PC_POP,TR,Turkey,2020,42.8
F,Y15-29,PC_POP,TR,Turkey,2021,39.4
F,Y15-29,PC_POP,TR,Turkey,2022,38.2
F,Y15-29,PC_POP,TR,Turkey,2023,36.3
M,Y15-29,PC_POP,TR,Turkey,2014,14.6
M,Y15-29,PC_POP,TR,Turkey,2015,14.2
M,Y15-29,PC_POP,TR,Turkey,2016,14.8
M,Y15-29,PC_POP,TR,Turkey,2017,14.6
M,Y15-29,PC_POP,TR,Turkey,2018,15.3
M,Y15-29,PC_POP,TR,Turkey,2019,18.3
M,Y15-29,PC_POP,TR,Turkey,2020,21.3
M,Y15-29,PC_POP,TR,Turkey,2021,17.7
M,Y15-29,PC_POP,TR,Turkey,2022,16.6
M,Y15-29,PC_POP,TR,Turkey,2023,15.6
T,Y15-29,PC_POP,TR,Turkey,2014,28.4
T,Y15-29,PC_POP,TR,Turkey,2015,27.9
T,Y15-29,PC_POP,TR,Turkey,2016,27.8
T,Y15-29,PC_POP,TR,Turkey,2017,27.5
T,Y15-29,PC_POP,TR,Turkey,2018,27.6
T,Y15-29,PC_POP,TR,Turkey,2019,29.5
T,Y15-29,PC_POP,TR,Turkey,2020,32.0
T,Y15-29,PC_POP,TR,Turkey,2021,28.4
T,Y15-29,PC_POP,TR,Turkey,2022,27.2
T,Y15-29,PC_POP,TR,Turkey,2023,25.8
