ITTER107,Territorio,ETA1,TIME,Value
IT,Italia,Y15-29,2018,2072.271
IT,Italia,Y15-29,2018-Q2,1987.519
IT,Italia,Y15-29,2018-Q1,2021.96
IT,Italia,Y15-29,2018-Q4,2101.613
IT,Italia,Y15-29,2018-Q3,2177.992
IT,Italia,Y15-29,2019,1960.424
IT,Italia,Y15-29,2019-Q1,1994.658
IT,Italia,Y15-29,2019-Q2,1878.994
IT,Italia,Y15-29,2019-Q4,1957.494
IT,Italia,Y15-29,2019-Q3,2010.548
IT,Italia,Y15-29,2020,2098.976
IT,Italia,Y15-29,2020-Q2,2136.748
IT,Italia,Y15-29,2020-Q1,2022.687
IT,Italia,Y15-29,2020-Q3,2149.437
IT,Italia,Y15-29,2020-Q4,2087.031
IT,Italia,Y15-29,2021,2031.626
IT,Italia,Y15-29,2022,1669.553
IT,Italia,Y15-29,2023,1405.032
IT,Italia,Y15-29,2021-Q1,2141.588
IT,Italia,Y15-29,2021-Q2,2007.205
IT,Italia,Y15-29,2021-Q3,1990.87
IT,Italia,Y15-29,2021-Q4,1986.842
IT,Italia,Y15-29,2022-Q1,1892.323
IT,Italia,Y15-29,2022-Q2,1699.516
IT,Italia,Y15-29,2022-Q3,1547.687
IT,Italia,Y15-29,2022-Q4,1538.685
IT,Italia,Y15-29,2023-Q1,1442.598
IT,Italia,Y15-29,2023-Q2,1372.841
IT,Italia,Y15-29,2023-Q3,1448.637
IT,Italia,Y15-29,2023-Q4,1356.054
IT,Italia,Y15-29,2024-Q1,1332.303
IT,Italia,Y15-29,2024-Q2,1269.942
IT,Italia,Y15-29,2024-Q3,1404.582
ITC1,Piemonte,Y15-29,2018,103.418
ITC1,Piemonte,Y15-29,2019,96.819
ITC1,Piemonte,Y15-29,2020,117.639
ITC1,Piemonte,Y15-29,2021,112.874
ITC1,Piemonte,Y15-29,2022,90.615
ITC1,Piemonte,Y15-29,2023,69.5
ITC2,Valle d'Aosta/Vallée d'Aoste,Y15-29,2018,2.843
ITC2,Valle d'Aosta/Vallée d'Aoste,Y15-29,2019,2.579
ITC2,Valle d'Aosta/Vallée d'Aoste,Y15-29,2020,3.01
ITC2,Valle d'Aosta/Vallée d'Aoste,Y15-29,2021,3.162
ITC2,Valle d'Aosta/Vallée d'Aoste,Y15-29,2022,2.71
ITC2,Valle d'Aosta/Vallée d'Aoste,Y15-29,2023,1.756
ITC3,Liguria,Y15-29,2018,38.926
ITC3,Liguria,Y15-29,2019,34.773
ITC3,Liguria,Y15-29,2020,39.938
ITC3,Liguria,Y15-29,2021,38.516
ITC3,Liguria,Y15-29,2022,29.432
ITC3,Liguria,Y15-29,2023,22.57
ITC4,Lombardia,Y15-29,2018,213.9
ITC4,Lombardia,Y15-29,2019,210.167
ITC4,Lombardia,Y15-29,2020,258.432
ITC4,Lombardia,Y15-29,2021,266.157
ITC4,Lombardia,Y15-29,2022,198.915
ITC4,Lombardia,Y15-29,2023,156.854
ITDA,Trentino-Alto Adige/Südtirol,Y15-29,2018,21.486
ITDA,Trentino-Alto Adige/Südtirol,Y15-29,2019,18.824
ITDA,Trentino-Alto Adige/Südtirol,Y15-29,2020,23.352
ITDA,Trentino-Alto Adige/Südtirol,Y15-29,2021,26.823
ITDA,Trentino-Alto Adige/Südtirol,Y15-29,2022,18.23
ITDA,Trentino-Alto Adige/Südtirol,Y15-29,2023,15.359
ITD3,Veneto,Y15-29,2018,103.538
ITD3,Veneto,Y15-29,2019,87.417
ITD3,Veneto,Y15-29,2020,104.429
ITD3,Veneto,Y15-29,2021,98.606
ITD3,Veneto,Y15-29,2022,93.972
ITD3,Veneto,Y15-29,2023,75.28
ITD4,Friuli-Venezia Giulia,Y15-29,2018,22.839
ITD4,Friuli-Venezia Giulia,Y15-29,2019,21.877
ITD4,Friuli-Venezia Giulia,Y15-29,2020,21.903
ITD4,Friuli-Venezia Giulia,Y15-29,2021,26.104
ITD4,Friuli-Venezia Giulia,Y15-29,2022,22.102
ITD4,Friuli-Venezia Giulia,Y15-29,2023,18.008
ITD5,Emilia-Romagna,Y15-29,2018,91.519
ITD5,Emilia-Romagna,Y15-29,2019,85.083
ITD5,Emilia-Romagna,Y15-29,2020,97.731
ITD5,Emilia-Romagna,Y15-29,2021,93.228
ITD5,Emilia-Romagna,Y15-29,2022,76.041
ITD5,Emilia-Romagna,Y15-29,2023,69.074
ITE1,Toscana,Y15-29,2018,79.235
ITE1,Toscana,Y15-29,2019,77.595
ITE1,Toscana,Y15-29,2020,86.727
ITE1,Toscana,Y15-29,2021,89.182
ITE1,Toscana,Y15-29,2022,69.555
ITE1,Toscana,Y15-29,2023,55.739
ITE2,Umbria,Y15-29,2018,22.624
ITE2,Umbria,Y15-29,2019,17.916
ITE2,Umbria,Y15-29,2020,22.753
ITE2,Umbria,Y15-29,2021,22.782
ITE2,Umbria,Y15-29,2022,17.179
ITE2,Umbria,Y15-29,2023,12.46
ITE3,Marche,Y15-29,2018,35.788
ITE3,Marche,Y15-29,2019,32.753
ITE3,Marche,Y15-29,2020,38.211
ITE3,Marche,Y15-29,2021,34.022
ITE3,Marche,Y15-29,2022,27.911
ITE3,Marche,Y15-29,2023,22.57
ITE4,Lazio,Y15-29,2018,184.48
ITE4,Lazio,Y15-29,2019,169.247
ITE4,Lazio,Y15-29,2020,186.19
ITE4,Lazio,Y15-29,2021,176.899
ITE4,Lazio,Y15-29,2022,139.671
ITE4,Lazio,Y15-29,2023,112.269
ITF1,Abruzzo,Y15-29,2018,39.303
