sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,10.0
F,Y15-29,PC_POP,BE,Belgium,14.0
F,Y15-29,PC_POP,BG,Bulgaria,26.0
F,Y15-29,PC_POP,CH,Switzerland,7.8
F,Y15-29,PC_POP,CY,Cyprus,19.5
F,Y15-29,PC_POP,CZ,Czechia,16.8
F,Y15-29,PC_POP,DE,Germany,12.5
F,Y15-29,PC_POP,DK,Denmark,8.7
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),16.2
F,Y15-29,PC_POP,EE,Estonia,17.9
F,Y15-29,PC_POP,EL,Greece,23.3
F,Y15-29,PC_POP,ES,Spain,18.7
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),16.7
F,Y15-29,PC_POP,FI,Finland,11.6
F,Y15-29,PC_POP,FR,France,14.3
F,Y15-29,PC_POP,HR,Croatia,19.3
F,Y15-29,PC_POP,HU,Hungary,14.5
F,Y15-29,PC_POP,IE,Ireland,14.6
F,Y15-29,PC_POP,IS,Iceland,5.0
F,Y15-29,PC_POP,IT,Italy,27.0
F,Y15-29,PC_POP,LT,Lithuania,10.7
F,Y15-29,PC_POP,LU,Luxembourg,8.3
F,Y15-29,PC_POP,LV,Latvia,13.6
F,Y15-29,PC_POP,ME,Montenegro,23.1
F,Y15-29,PC_POP,MK,Macedonia,34.0
F,Y15-29,PC_POP,MT,Malta,12.1
F,Y15-29,PC_POP,NL,Netherlands,8.2
F,Y15-29,PC_POP,NO,Norway,9.0
F,Y15-29,PC_POP,PL,Poland,16.8
F,Y15-29,PC_POP,PT,Portugal,13.1
F,Y15-29,PC_POP,RO,Romania,29.1
F,Y15-29,PC_POP,RS,Serbia,25.2
F,Y15-29,PC_POP,SE,Sweden,7.1
F,Y15-29,PC_POP,SI,Slovenia,9.3
F,Y15-29,PC_POP,SK,Slovakia,18.5
F,Y15-29,PC_POP,TR,Turkey,40.9
M,Y15-29,PC_POP,AT,Austria,8.6
