sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,2014,10.9
F,Y15-29,PC_POP,AT,Austria,2015,9.7
F,Y15-29,PC_POP,AT,Austria,2016,10.0
F,Y15-29,PC_POP,AT,Austria,2017,9.6
F,Y15-29,PC_POP,AT,Austria,2018,10.4
F,Y15-29,PC_POP,AT,Austria,2019,10.3
F,Y15-29,PC_POP,AT,Austria,2020,10.2
F,Y15-29,PC_POP,AT,Austria,2021,10.3
F,Y15-29,PC_POP,AT,Austria,2022,9.6
F,Y15-29,PC_POP,AT,Austria,2023,10.0
M,Y15-29,PC_POP,AT,Austria,2014,8.6
M,Y15-29,PC_POP,AT,Austria,2015,8.4
M,Y15-29,PC_POP,AT,Austria,2016,8.6
M,Y15-29,PC_POP,AT,Austria,2017,7.9
M,Y15-29,PC_POP,AT,Austria,2018,7.2
M,Y15-29,PC_POP,AT,Austria,2019,7.0
M,Y15-29,PC_POP,AT,Austria,2020,9.6
M,Y15-29,PC_POP,AT,Austria,2021,8.5
M,Y15-29,PC_POP,AT,Austria,2022,8.5
M,Y15-29,PC_POP,AT,Austria,2023,8.8
T,Y15-29,PC_POP,AT,Austria,2014,9.7
T,Y15-29,PC_POP,AT,Austria,2015,9.0
T,Y15-29,PC_POP,AT,Austria,2016,9.3
T,Y15-29,PC_POP,AT,Austria,2017,8.8
T,Y15-29,PC_POP,AT,Austria,2018,8.8
T,Y15-29,PC_POP,AT,Austria,2019,8.6
T,Y15-29,PC_POP,AT,Austria,2020,9.9
T,Y15-29,PC_POP,AT,Austria,2021,9.4
T,Y15-29,PC_POP,AT,Austria,2022,9.1
T,Y15-29,PC_POP,AT,Austria,2023,9.4
