sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,HR,Croatia,2014,20.9
F,Y15-29,PC_POP,HR,Croatia,2015,19.2
F,Y15-29,PC_POP,HR,Croatia,2016,19.3
F,Y15-29,PC_POP,HR,Croatia,2017,18.9
F,Y15-29,PC_POP,HR,Croatia,2018,17.8
F,Y15-29,PC_POP,HR,Croatia,2019,16.2
F,Y15-29,PC_POP,HR,Croatia,2020,15.9
F,Y15-29,PC_POP,HR,Croatia,2021,16.2
F,Y15-29,PC_POP,HR,Croatia,2022,15.1
F,Y15-29,PC_POP,HR,Croatia,2023,12.7
M,Y15-29,PC_POP,HR,Croatia,2014,22.4
M,Y15-29,PC_POP,HR,Croatia,2015,20.4
M,Y15-29,PC_POP,HR,Croatia,2016,19.5
M,Y15-29,PC_POP,HR,Croatia,2017,16.8
M,Y15-29,PC_POP,HR,Croatia,2018,13.3
M,Y15-29,PC_POP,HR,Croatia,2019,12.6
M,Y15-29,PC_POP,HR,Croatia,2020,13.2
M,Y15-29,PC_POP,HR,Croatia,2021,13.6
M,Y15-29,PC_POP,HR,Croatia,2022,11.2
M,Y15-29,PC_POP,HR,Croatia,2023,11.0
T,Y15-29,PC_POP,HR,Croatia,2014,21.7
T,Y15-29,PC_POP,HR,Croatia,2015,19.8
T,Y15-29,PC_POP,HR,Croatia,2016,19.4
T,Y15-29,PC_POP,HR,Croatia,2017,17.9
T,Y15-29,PC_POP,HR,Croatia,2018,15.5
T,Y15-29,PC_POP,HR,Croatia,2019,14.3
T,Y15-29,PC_POP,HR,Croatia,2020,14.5
T,Y15-29,PC_POP,HR,Croatia,2021,14.9
T,Y15-29,PC_POP,HR,Croatia,2022,13.1
T,Y15-29,PC_POP,HR,Croatia,2023,11.8
