sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,CY,Cyprus,2014,18.5
F,Y15-29,PC_POP,CY,Cyprus,2015,19.2
F,Y15-29,PC_POP,CY,Cyprus,2016,19.5
F,Y15-29,PC_POP,CY,Cyprus,2017,19.3
F,Y15-29,PC_POP,CY,Cyprus,2018,15.5
F,Y15-29,PC_POP,CY,Cyprus,2019,16.7
F,Y15-29,PC_POP,CY,Cyprus,2020,16.1
F,Y15-29,PC_POP,CY,Cyprus,2021,15.4
F,Y15-29,PC_POP,CY,Cyprus,2022,16.7
F,Y15-29,PC_POP,CY,Cyprus,2023,14.8
M,Y15-29,PC_POP,CY,Cyprus,2014,20.5
M,Y15-29,PC_POP,CY,Cyprus,2015,17.7
M,Y15-29,PC_POP,CY,Cyprus,2016,16.4
M,Y15-29,PC_POP,CY,Cyprus,2017,15.7
M,Y15-29,PC_POP,CY,Cyprus,2018,14.2
M,Y15-29,PC_POP,CY,Cyprus,2019,12.9
M,Y15-29,PC_POP,CY,Cyprus,2020,14.3
M,Y15-29,PC_POP,CY,Cyprus,2021,14.6
M,Y15-29,PC_POP,CY,Cyprus,2022,12.2
M,Y15-29,PC_POP,CY,Cyprus,2023,13.0
T,Y15-29,PC_POP,CY,Cyprus,2014,19.5
T,Y15-29,PC_POP,CY,Cyprus,2015,18.5
T,Y15-29,PC_POP,CY,Cyprus,2016,18.0
T,Y15-29,PC_POP,CY,Cyprus,2017,17.6
T,Y15-29,PC_POP,CY,Cyprus,2018,14.9
T,Y15-29,PC_POP,CY,Cyprus,2019,14.7
T,Y15-29,PC_POP,CY,Cyprus,2020,15.2
T,Y15-29,PC_POP,CY,Cyprus,2021,15.0
T,Y15-29,PC_POP,CY,Cyprus,2022,14.4
T,Y15-29,PC_POP,CY,Cyprus,2023,13.9
