sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,CZ,Czechia,2014,17.4
F,Y15-29,PC_POP,CZ,Czechia,2015,17.2
F,Y15-29,PC_POP,CZ,Czechia,2016,16.8
F,Y15-29,PC_POP,CZ,Czechia,2017,15.5
F,Y15-29,PC_POP,CZ,Czechia,2018,15.3
F,Y15-29,PC_POP,CZ,Czechia,2019,15.9
F,Y15-29,PC_POP,CZ,Czechia,2020,17.6
F,Y15-29,PC_POP,CZ,Czechia,2021,17.3
F,Y15-29,PC_POP,CZ,Czechia,2022,17.1
F,Y15-29,PC_POP,CZ,Czechia,2023,15.5
M,Y15-29,PC_POP,CZ,Czechia,2014,7.0
M,Y15-29,PC_POP,CZ,Czechia,2015,6.6
M,Y15-29,PC_POP,CZ,Czechia,2016,5.6
M,Y15-29,PC_POP,CZ,Czechia,2017,4.6
M,Y15-29,PC_POP,CZ,Czechia,2018,4.0
M,Y15-29,PC_POP,CZ,Czechia,2019,4.0
M,Y15-29,PC_POP,CZ,Czechia,2020,4.7
M,Y15-29,PC_POP,CZ,Czechia,2021,4.8
M,Y15-29,PC_POP,CZ,Czechia,2022,6.1
M,Y15-29,PC_POP,CZ,Czechia,2023,4.6
T,Y15-29,PC_POP,CZ,Czechia,2014,12.1
T,Y15-29,PC_POP,CZ,Czechia,2015,11.8
T,Y15-29,PC_POP,CZ,Czechia,2016,11.1
T,Y15-29,PC_POP,CZ,Czechia,2017,10.0
T,Y15-29,PC_POP,CZ,Czechia,2018,9.5
T,Y15-29,PC_POP,CZ,Czechia,2019,9.8
T,Y15-29,PC_POP,CZ,Czechia,2020,11.0
T,Y15-29,PC_POP,CZ,Czechia,2021,10.9
T,Y15-29,PC_POP,CZ,Czechia,2022,11.4
T,Y15-29,PC_POP,CZ,Czechia,2023,10.1
