sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,EE,Estonia,2014,15.2
F,Y15-29,PC_POP,EE,Estonia,2015,16.2
F,Y15-29,PC_POP,EE,Estonia,2016,17.9
F,Y15-29,PC_POP,EE,Estonia,2017,12.6
F,Y15-29,PC_POP,EE,Estonia,2018,13.2
F,Y15-29,PC_POP,EE,Estonia,2019,12.2
F,Y15-29,PC_POP,EE,Estonia,2020,12.9
F,Y15-29,PC_POP,EE,Estonia,2021,11.7
F,Y15-29,PC_POP,EE,Estonia,2022,9.2
F,Y15-29,PC_POP,EE,Estonia,2023,8.9
M,Y15-29,PC_POP,EE,Estonia,2014,11.2
M,Y15-29,PC_POP,EE,Estonia,2015,8.7
M,Y15-29,PC_POP,EE,Estonia,2016,8.9
M,Y15-29,PC_POP,EE,Estonia,2017,8.5
M,Y15-29,PC_POP,EE,Estonia,2018,9.7
M,Y15-29,PC_POP,EE,Estonia,2019,7.3
M,Y15-29,PC_POP,EE,Estonia,2020,9.3
M,Y15-29,PC_POP,EE,Estonia,2021,10.7
M,Y15-29,PC_POP,EE,Estonia,2022,11.9
M,Y15-29,PC_POP,EE,Estonia,2023,10.2
T,Y15-29,PC_POP,EE,Estonia,2014,13.2
T,Y15-29,PC_POP,EE,Estonia,2015,12.4
T,Y15-29,PC_POP,EE,Estonia,2016,13.3
T,Y15-29,PC_POP,EE,Estonia,2017,10.5
T,Y15-29,PC_POP,EE,Estonia,2018,11.5
T,Y15-29,PC_POP,EE,Estonia,2019,9.7
T,Y15-29,PC_POP,EE,Estonia,2020,11.1
T,Y15-29,PC_POP,EE,Estonia,2021,11.2
T,Y15-29,PC_POP,EE,Estonia,2022,10.6
T,Y15-29,PC_POP,EE,Estonia,2023,9.6
