sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,FI,Finland,2014,11.1
F,Y15-29,PC_POP,FI,Finland,2015,12.4
F,Y15-29,PC_POP,FI,Finland,2016,11.6
F,Y15-29,PC_POP,FI,Finland,2017,11.0
F,Y15-29,PC_POP,FI,Finland,2018,10.6
F,Y15-29,PC_POP,FI,Finland,2019,9.9
F,Y15-29,PC_POP,FI,Finland,2020,9.9
F,Y15-29,PC_POP,FI,Finland,2021,8.7
F,Y15-29,PC_POP,FI,Finland,2022,8.6
F,Y15-29,PC_POP,FI,Finland,2023,9.1
M,Y15-29,PC_POP,FI,Finland,2014,11.4
M,Y15-29,PC_POP,FI,Finland,2015,11.2
M,Y15-29,PC_POP,FI,Finland,2016,10.7
M,Y15-29,PC_POP,FI,Finland,2017,9.9
M,Y15-29,PC_POP,FI,Finland,2018,8.6
M,Y15-29,PC_POP,FI,Finland,2019,8.3
M,Y15-29,PC_POP,FI,Finland,2020,9.6
M,Y15-29,PC_POP,FI,Finland,2021,9.7
M,Y15-29,PC_POP,FI,Finland,2022,10.0
M,Y15-29,PC_POP,FI,Finland,2023,9.2
T,Y15-29,PC_POP,FI,Finland,2014,11.2
T,Y15-29,PC_POP,FI,Finland,2015,11.8
T,Y15-29,PC_POP,FI,Finland,2016,11.2
T,Y15-29,PC_POP,FI,Finland,2017,10.4
T,Y15-29,PC_POP,FI,Finland,2018,9.6
T,Y15-29,PC_POP,FI,Finland,2019,9.1
T,Y15-29,PC_POP,FI,Finland,2020,9.8
T,Y15-29,PC_POP,FI,Finland,2021,9.2
T,Y15-29,PC_POP,FI,Finland,2022,9.3
T,Y15-29,PC_POP,FI,Finland,2023,9.2
