sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,FR,France,2014,13.9
F,Y15-29,PC_POP,FR,France,2015,14.5
F,Y15-29,PC_POP,FR,France,2016,14.3
F,Y15-29,PC_POP,FR,France,2017,13.6
F,Y15-29,PC_POP,FR,France,2018,13.2
F,Y15-29,PC_POP,FR,France,2019,12.6
F,Y15-29,PC_POP,FR,France,2020,13.7
F,Y15-29,PC_POP,FR,France,2021,13.0
F,Y15-29,PC_POP,FR,France,2022,12.1
F,Y15-29,PC_POP,FR,France,2023,12.5
M,Y15-29,PC_POP,FR,France,2014,12.9
M,Y15-29,PC_POP,FR,France,2015,13.4
M,Y15-29,PC_POP,FR,France,2016,12.9
M,Y15-29,PC_POP,FR,France,2017,12.7
M,Y15-29,PC_POP,FR,France,2018,12.6
M,Y15-29,PC_POP,FR,France,2019,12.1
M,Y15-29,PC_POP,FR,France,2020,13.1
M,Y15-29,PC_POP,FR,France,2021,12.5
M,Y15-29,PC_POP,FR,France,2022,11.9
M,Y15-29,PC_POP,FR,France,2023,12.2
T,Y15-29,PC_POP,FR,France,2014,13.4
T,Y15-29,PC_POP,FR,France,2015,13.9
T,Y15-29,PC_POP,FR,France,2016,13.6
T,Y15-29,PC_POP,FR,France,2017,13.2
T,Y15-29,PC_POP,FR,France,2018,12.9
T,Y15-29,PC_POP,FR,France,2019,12.4
T,Y15-29,PC_POP,FR,France,2020,13.4
T,Y15-29,PC_POP,FR,France,2021,12.8
T,Y15-29,PC_POP,FR,France,2022,12.0
T,Y15-29,PC_POP,FR,France,2023,12.3
