sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,DE,Germany,2014,12.4
F,Y15-29,PC_POP,DE,Germany,2015,12.1
F,Y15-29,PC_POP,DE,Germany,2016,12.5
F,Y15-29,PC_POP,DE,Germany,2017,12.0
F,Y15-29,PC_POP,DE,Germany,2018,11.3
F,Y15-29,PC_POP,DE,Germany,2019,11.0
F,Y15-29,PC_POP,DE,Germany,2020,10.7
F,Y15-29,PC_POP,DE,Germany,2021,10.9
F,Y15-29,PC_POP,DE,Germany,2022,10.5
F,Y15-29,PC_POP,DE,Germany,2023,10.3
M,Y15-29,PC_POP,DE,Germany,2014,7.4
M,Y15-29,PC_POP,DE,Germany,2015,7.3
M,Y15-29,PC_POP,DE,Germany,2016,7.8
M,Y15-29,PC_POP,DE,Germany,2017,7.4
M,Y15-29,PC_POP,DE,Germany,2018,6.8
M,Y15-29,PC_POP,DE,Germany,2019,6.5
M,Y15-29,PC_POP,DE,Germany,2020,8.6
M,Y15-29,PC_POP,DE,Germany,2021,8.1
M,Y15-29,PC_POP,DE,Germany,2022,7.2
M,Y15-29,PC_POP,DE,Germany,2023,7.4
T,Y15-29,PC_POP,DE,Germany,2014,9.8
T,Y15-29,PC_POP,DE,Germany,2015,9.6
T,Y15-29,PC_POP,DE,Germany,2016,10.0
T,Y15-29,PC_POP,DE,Germany,2017,9.6
T,Y15-29,PC_POP,DE,Germany,2018,9.0
T,Y15-29,PC_POP,DE,Germany,2019,8.6
T,Y15-29,PC_POP,DE,Germany,2020,9.6
T,Y15-29,PC_POP,DE,Germany,2021,9.5
T,Y15-29,PC_POP,DE,Germany,2022,8.8
T,Y15-29,PC_POP,DE,Germany,2023,8.8
