sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,HU,Hungary,2014,17.2
F,Y15-29,PC_POP,HU,Hungary,2015,15.3
F,Y15-29,PC_POP,HU,Hungary,2016,14.5
F,Y15-29,PC_POP,HU,Hungary,2017,14.7
F,Y15-29,PC_POP,HU,Hungary,2018,13.9
F,Y15-29,PC_POP,HU,Hungary,2019,13.4
F,Y15-29,PC_POP,HU,Hungary,2020,14.8
F,Y15-29,PC_POP,HU,Hungary,2021,14.8
F,Y15-29,PC_POP,HU,Hungary,2022,13.3
F,Y15-29,PC_POP,HU,Hungary,2023,13.3
M,Y15-29,PC_POP,HU,Hungary,2014,12.2
M,Y15-29,PC_POP,HU,Hungary,2015,11.1
M,Y15-29,PC_POP,HU,Hungary,2016,9.6
M,Y15-29,PC_POP,HU,Hungary,2017,7.9
M,Y15-29,PC_POP,HU,Hungary,2018,7.5
M,Y15-29,PC_POP,HU,Hungary,2019,8.7
M,Y15-29,PC_POP,HU,Hungary,2020,10.2
M,Y15-29,PC_POP,HU,Hungary,2021,8.7
M,Y15-29,PC_POP,HU,Hungary,2022,8.3
M,Y15-29,PC_POP,HU,Hungary,2023,8.7
T,Y15-29,PC_POP,HU,Hungary,2014,14.7
T,Y15-29,PC_POP,HU,Hungary,2015,13.1
T,Y15-29,PC_POP,HU,Hungary,2016,12.0
T,Y15-29,PC_POP,HU,Hungary,2017,11.2
T,Y15-29,PC_POP,HU,Hungary,2018,10.6
T,Y15-29,PC_POP,HU,Hungary,2019,11.0
T,Y15-29,PC_POP,HU,Hungary,2020,12.4
T,Y15-29,PC_POP,HU,Hungary,2021,11.7
T,Y15-29,PC_POP,HU,Hungary,2022,10.7
T,Y15-29,PC_POP,HU,Hungary,2023,10.9
