sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,IS,Iceland,2014,6.5
F,Y15-29,PC_POP,IS,Iceland,2015,4.9
F,Y15-29,PC_POP,IS,Iceland,2016,5.0
F,Y15-29,PC_POP,IS,Iceland,2017,4.8
F,Y15-29,PC_POP,IS,Iceland,2018,5.9
F,Y15-29,PC_POP,IS,Iceland,2019,4.8
F,Y15-29,PC_POP,IS,Iceland,2020,7.4
F,Y15-29,PC_POP,IS,Iceland,2021,7.6
F,Y15-29,PC_POP,IS,Iceland,2022,5.2
F,Y15-29,PC_POP,IS,Iceland,2023,6.3
M,Y15-29,PC_POP,IS,Iceland,2014,7.2
M,Y15-29,PC_POP,IS,Iceland,2015,5.6
M,Y15-29,PC_POP,IS,Iceland,2016,4.3
M,Y15-29,PC_POP,IS,Iceland,2017,3.4
M,Y15-29,PC_POP,IS,Iceland,2018,4.9
M,Y15-29,PC_POP,IS,Iceland,2019,6.6
M,Y15-29,PC_POP,IS,Iceland,2020,6.7
M,Y15-29,PC_POP,IS,Iceland,2021,6.9
M,Y15-29,PC_POP,IS,Iceland,2022,5.4
M,Y15-29,PC_POP,IS,Iceland,2023,5.2
T,Y15-29,PC_POP,IS,Iceland,2014,6.9
T,Y15-29,PC_POP,IS,Iceland,2015,5.3
T,Y15-29,PC_POP,IS,Iceland,2016,4.6
T,Y15-29,PC_POP,IS,Iceland,2017,4.1
T,Y15-29,PC_POP,IS,Iceland,2018,5.4
T,Y15-29,PC_POP,IS,Iceland,2019,5.7
T,Y15-29,PC_POP,IS,Iceland,2020,7.0
T,Y15-29,PC_POP,IS,Iceland,2021,7.2
T,Y15-29,PC_POP,IS,Iceland,2022,5.3
T,Y15-29,PC_POP,IS,Iceland,2023,5.7
