sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,MT,Malta,2014,14.5
F,Y15-29,PC_POP,MT,Malta,2015,15.0
F,Y15-29,PC_POP,MT,Malta,2016,12.1
F,Y15-29,PC_POP,MT,Malta,2017,9.8
F,Y15-29,PC_POP,MT,Malta,2018,9.0
F,Y15-29,PC_POP,MT,Malta,2019,10.6
F,Y15-29,PC_POP,MT,Malta,2020,10.9
F,Y15-29,PC_POP,MT,Malta,2021,12.0
F,Y15-29,PC_POP,MT,Malta,2022,7.9
F,Y15-29,PC_POP,MT,Malta,2023,8.3
M,Y15-29,PC_POP,MT,Malta,2014,8.9
M,Y15-29,PC_POP,MT,Malta,2015,8.8
M,Y15-29,PC_POP,MT,Malta,2016,6.9
M,Y15-29,PC_POP,MT,Malta,2017,7.8
M,Y15-29,PC_POP,MT,Malta,2018,6.1
M,Y15-29,PC_POP,MT,Malta,2019,6.7
M,Y15-29,PC_POP,MT,Malta,2020,8.7
M,Y15-29,PC_POP,MT,Malta,2021,9.2
M,Y15-29,PC_POP,MT,Malta,2022,7.4
M,Y15-29,PC_POP,MT,Malta,2023,7.0
T,Y15-29,PC_POP,MT,Malta,2014,11.6
T,Y15-29,PC_POP,MT,Malta,2015,11.8
T,Y15-29,PC_POP,MT,Malta,2016,9.4
T,Y15-29,PC_POP,MT,Malta,2017,8.8
T,Y15-29,PC_POP,MT,Malta,2018,7.4
T,Y15-29,PC_POP,MT,Malta,2019,8.5
T,Y15-29,PC_POP,MT,Malta,2020,9.7
T,Y15-29,PC_POP,MT,Malta,2021,10.5
T,Y15-29,PC_POP,MT,Malta,2022,7.6
T,Y15-29,PC_POP,MT,Malta,2023,7.6
