sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,PL,Poland,2014,17.9
F,Y15-29,PC_POP,PL,Poland,2015,16.5
F,Y15-29,PC_POP,PL,Poland,2016,16.8
F,Y15-29,PC_POP,PL,Poland,2017,16.7
F,Y15-29,PC_POP,PL,Poland,2018,16.2
F,Y15-29,PC_POP,PL,Poland,2019,15.3
F,Y15-29,PC_POP,PL,Poland,2020,16.1
F,Y15-29,PC_POP,PL,Poland,2021,16.3
F,Y15-29,PC_POP,PL,Poland,2022,13.3
F,Y15-29,PC_POP,PL,Poland,2023,11.5
M,Y15-29,PC_POP,PL,Poland,2014,13.7
M,Y15-29,PC_POP,PL,Poland,2015,13.3
M,Y15-29,PC_POP,PL,Poland,2016,11.3
M,Y15-29,PC_POP,PL,Poland,2017,9.6
M,Y15-29,PC_POP,PL,Poland,2018,8.4
M,Y15-29,PC_POP,PL,Poland,2019,7.7
M,Y15-29,PC_POP,PL,Poland,2020,9.0
M,Y15-29,PC_POP,PL,Poland,2021,10.1
M,Y15-29,PC_POP,PL,Poland,2022,8.2
M,Y15-29,PC_POP,PL,Poland,2023,6.9
T,Y15-29,PC_POP,PL,Poland,2014,15.7
T,Y15-29,PC_POP,PL,Poland,2015,14.9
T,Y15-29,PC_POP,PL,Poland,2016,14.0
T,Y15-29,PC_POP,PL,Poland,2017,13.0
T,Y15-29,PC_POP,PL,Poland,2018,12.2
T,Y15-29,PC_POP,PL,Poland,2019,11.4
T,Y15-29,PC_POP,PL,Poland,2020,12.5
T,Y15-29,PC_POP,PL,Poland,2021,13.2
T,Y15-29,PC_POP,PL,Poland,2022,10.7
T,Y15-29,PC_POP,PL,Poland,2023,9.1
