sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,PT,Portugal,2014,15.2
F,Y15-29,PC_POP,PT,Portugal,2015,14.2
F,Y15-29,PC_POP,PT,Portugal,2016,13.1
F,Y15-29,PC_POP,PT,Portugal,2017,10.8
F,Y15-29,PC_POP,PT,Portugal,2018,9.8
F,Y15-29,PC_POP,PT,Portugal,2019,10.0
F,Y15-29,PC_POP,PT,Portugal,2020,11.0
F,Y15-29,PC_POP,PT,Portugal,2021,9.7
F,Y15-29,PC_POP,PT,Portugal,2022,8.5
F,Y15-29,PC_POP,PT,Portugal,2023,8.9
M,Y15-29,PC_POP,PT,Portugal,2014,13.9
M,Y15-29,PC_POP,PT,Portugal,2015,12.0
M,Y15-29,PC_POP,PT,Portugal,2016,12.4
M,Y15-29,PC_POP,PT,Portugal,2017,10.4
M,Y15-29,PC_POP,PT,Portugal,2018,9.2
M,Y15-29,PC_POP,PT,Portugal,2019,8.2
M,Y15-29,PC_POP,PT,Portugal,2020,11.1
M,Y15-29,PC_POP,PT,Portugal,2021,9.7
M,Y15-29,PC_POP,PT,Portugal,2022,8.5
M,Y15-29,PC_POP,PT,Portugal,2023,9.0
T,Y15-29,PC_POP,PT,Portugal,2014,14.6
T,Y15-29,PC_POP,PT,Portugal,2015,13.1
T,Y15-29,PC_POP,PT,Portugal,2016,12.7
T,Y15-29,PC_POP,PT,Portugal,2017,10.6
T,Y15-29,PC_POP,PT,Portugal,2018,9.5
T,Y15-29,PC_POP,PT,Portugal,2019,9.1
T,Y15-29,PC_POP,PT,Portugal,2020,11.0
T,Y15-29,PC_POP,PT,Portugal,2021,9.7
T,Y15-29,PC_POP,PT,Portugal,2022,8.5
T,Y15-29,PC_POP,PT,Portugal,2023,8.9
