sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,RO,Romania,2014,28.1
F,Y15-29,PC_POP,RO,Romania,2015,30.6
F,Y15-29,PC_POP,RO,Romania,2016,29.1
F,Y15-29,PC_POP,RO,Romania,2017,26.5
F,Y15-29,PC_POP,RO,Romania,2018,26.3
F,Y15-29,PC_POP,RO,Romania,2019,25.8
F,Y15-29,PC_POP,RO,Romania,2020,25.9
F,Y15-29,PC_POP,RO,Romania,2021,26.3
F,Y15-29,PC_POP,RO,Romania,2022,25.4
F,Y15-29,PC_POP,RO,Romania,2023,24.8
M,Y15-29,PC_POP,RO,Romania,2014,21.7
M,Y15-29,PC_POP,RO,Romania,2015,21.4
M,Y15-29,PC_POP,RO,Romania,2016,19.9
M,Y15-29,PC_POP,RO,Romania,2017,17.9
M,Y15-29,PC_POP,RO,Romania,2018,16.6
M,Y15-29,PC_POP,RO,Romania,2019,16.2
M,Y15-29,PC_POP,RO,Romania,2020,15.7
M,Y15-29,PC_POP,RO,Romania,2021,14.6
M,Y15-29,PC_POP,RO,Romania,2022,14.5
M,Y15-29,PC_POP,RO,Romania,2023,14.1
T,Y15-29,PC_POP,RO,Romania,2014,24.8
T,Y15-29,PC_POP,RO,Romania,2015,25.8
T,Y15-29,PC_POP,RO,Romania,2016,24.3
T,Y15-29,PC_POP,RO,Romania,2017,22.1
T,Y15-29,PC_POP,RO,Romania,2018,21.3
T,Y15-29,PC_POP,RO,Romania,2019,20.9
T,Y15-29,PC_POP,RO,Romania,2020,20.6
T,Y15-29,PC_POP,RO,Romania,2021,20.3
T,Y15-29,PC_POP,RO,Romania,2022,19.8
T,Y15-29,PC_POP,RO,Romania,2023,19.3
