sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
F,Y15-29,PC_POP,ES,Spain,2014,20.9
F,Y15-29,PC_POP,ES,Spain,2015,19.7
F,Y15-29,PC_POP,ES,Spain,2016,18.7
F,Y15-29,PC_POP,ES,Spain,2017,17.1
F,Y15-29,PC_POP,ES,Spain,2018,16.0
F,Y15-29,PC_POP,ES,Spain,2019,15.4
F,Y15-29,PC_POP,ES,Spain,2020,17.3
F,Y15-29,PC_POP,ES,Spain,2021,13.9
F,Y15-29,PC_POP,ES,Spain,2022,13.3
F,Y15-29,PC_POP,ES,Spain,2023,12.3
M,Y15-29,PC_POP,ES,Spain,2014,20.5
M,Y15-29,PC_POP,ES,Spain,2015,19.2
M,Y15-29,PC_POP,ES,Spain,2016,17.4
M,Y15-29,PC_POP,ES,Spain,2017,15.7
M,Y15-29,PC_POP,ES,Spain,2018,14.7
M,Y15-29,PC_POP,ES,Spain,2019,14.4
M,Y15-29,PC_POP,ES,Spain,2020,17.3
M,Y15-29,PC_POP,ES,Spain,2021,14.6
M,Y15-29,PC_POP,ES,Spain,2022,12.2
M,Y15-29,PC_POP,ES,Spain,2023,12.3
T,Y15-29,PC_POP,ES,Spain,2014,20.7
T,Y15-29,PC_POP,ES,Spain,2015,19.4
T,Y15-29,PC_POP,ES,Spain,2016,18.1
T,Y15-29,PC_POP,ES,Spain,2017,16.4
T,Y15-29,PC_POP,ES,Spain,2018,15.3
T,Y15-29,PC_POP,ES,Spain,2019,14.9
T,Y15-29,PC_POP,ES,Spain,2020,17.3
T,Y15-29,PC_POP,ES,Spain,2021,14.2
T,Y15-29,PC_POP,ES,Spain,2022,12.7
T,Y15-29,PC_POP,ES,Spain,2023,12.3
