"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",59816673,,
"IT","Italy","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",59641488,,
"IT","Italy","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",59236213,,
"IT","Italy","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",59030133,,
"IT","Italy","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",58997201,,
"IT","Italy","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",58971230,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",4328565,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",4311217,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4274945,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",4256350,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",4251351,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",4251623,,
"ITC2","Valle d'Aosta/Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",125653,,
"ITC2","Valle d'Aosta/Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",125034,,
"ITC2","Valle d'Aosta/Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",124089,,
"ITC2","Valle d'Aosta/Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",123360,,
"ITC2","Valle d'Aosta/Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",123130,,
"ITC2","Valle d'Aosta/Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",122877,,
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1532980,,
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1524826,,
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1518495,,
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1509227,,
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1507636,,
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1509140,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",10010833,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",10027602,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",9981554,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",9943004,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",9976509,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",10012054,,
"ITDA","Trentino-Alto Adige/Südtirol","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1074034,,
"ITDA","Trentino-Alto Adige/Südtirol","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1078069,,
"ITDA","Trentino-Alto Adige/Südtirol","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1077078,,
"ITDA","Trentino-Alto Adige/Südtirol","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1073574,,
"ITDA","Trentino-Alto Adige/Südtirol","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1077143,,
